rfid	op_id	soc_socialrs_sa	soc_socialavgti	soc_social_num_ti_1_5	soc_social_num_ti_4_5	soc_social_num_ti_7_5	soc_social_num_ti_10_5	soc_social_num_ti_13_5	soc_social_num_ti_16_5	soc_socialti_sa	soc_midconrs_sa	soc_midconavgti	soc_midcon_num_ti_1_5	soc_midcon_num_ti_4_5	soc_midcon_num_ti_7_5	soc_midcon_num_ti_10_5	soc_midcon_num_ti_13_5	soc_midcon_num_ti_16_5	soc_midconti_sa	soc_opconrs_sa	soc_opconavgti	soc_opcon_num_ti_1_5	soc_opcon_num_ti_4_5	soc_opcon_num_ti_7_5	soc_opcon_num_ti_10_5	soc_opcon_num_ti_13_5	soc_opcon_num_ti_16_5	soc_opconti_sa	soc_totalrs_sa	soc_avgtotalti	soc_total_num_ti_1_5	soc_total_num_ti_4_5	soc_total_num_ti_7_5	soc_total_num_ti_10_5	soc_total_num_ti_13_5	soc_total_num_ti_16_5	soc_totalti_sa	rt_trials_sa	rt_meanrt_sa	rt_devmedrt_sa	rt_falsealarm_sa	rt_peropfalsealarm_sa	rt_pinit_sa	rt_peropinit_sa	loco_sheet_id	loco_saact	loco_sadis	loco_sarear	loco_sacent	lr_lt_act_sa	lr_lt_inact_sa	lr_lt_tot_sa	lr_px_pre_act_sa	lr_px_pre_inact_sa	lr_px_pre_tot_sa	dd_pcd600	dd_pcd1200	dd_pcd1800	dd_pcd2400
CC1DCD176E	R15	-0.637931034	769.5	3	5	2	2	2	2	-0.410175338	-0.742753623	420.4736842	6	5	2	2	3	1	-0.590055419	-0.649122807	306.2222222	8	5	1	2	1	1	-0.500995836	-0.691489362	487.0377358	17	15	5	6	6	4	-0.298178358	-0.262711864	-0.073278155	-0.324307919	-0.277777778	0.285899386	-0.310907238	-0.081781166	R01_R78	-0.504504505	-0.570162107	-0.740740741	-0.284391534	-0.295454545	-0.346153846	-0.294117647	-0.371794872	0.552380952	0.432539683	6.01	12.01	18.01	24.01
CC1DCD1771	R16	-0.4	440.2666667	6	5	8	2	3	6	-0.427034531	-0.544303797	771.7857143	9	7	2	3	3	3	0.422472803	-0.290322581	401.6097561	6	9	8	6	8	4	-0.333899676	-0.451612903	518.020202	21	21	18	11	14	14	0.357101667	-0.28968254	0.116582993	0.353229615	0.4	0.701315595	-0.327076223	-0.147791281	R01_R78	-0.325163399	-0.439082278	-0.623809524	-0.469394544	0.302721088	-0.409090909	0.217948718	-0.270833333	-0.355555556	-0.265765766	6.01	12.01	18.01	24.01
CC1DCD174A	R17	-0.426666667	597.6111111	5	3	3	3	4		0.620484053	-0.666666667	313.125	8	6	4	4	2		0.495772947	-0.547101449	743.3684211	4	8	2	3	2		-0.354360943	-0.551666667	531.0819672	17	17	9	10	8		0.419676125	-0.321428571	-0.135864124	-0.322967721	-0.625	0.527151211	-0.504504505	-0.424864526	R01_R78	-0.382882883	-0.460431655	-0.717948718	-0.384223919	-0.244444444	-0.55	-0.340277778	-0.691358025	-0.62745098	-0.623931624	6.01	12.01	18.01	24.01
CC1DCD178C	R18	-0.740196078	676.4347826	6	5	3	5	2	2	-0.52871683	-0.55952381	488.3125	4	3	2	3	3	1	-0.481415107	-0.619047619	491.85	4	4	2	4	3	3	0.475024015	-0.563291139	562.8474576	14	12	7	12	8	6	-0.502993295	-0.366666667	-0.224568786	-0.30499992	-0.5	0.637102205	-0.291079812	-0.155748911	R01_R78	-0.204347826	-0.293733681	-0.602150538	0.648124467	-0.433333333	-0.523809524	-0.462121212	-0.62962963	-0.261904762	-0.46875	6.01	12.01	18.01	24.01
CC1DCD1779	R19	-0.731884058	509.9444444	4	6	7				0.674110032	-0.62962963	617.5384615	3	3	2	1	3	1	0.530196629	-0.62962963	1011.0625	4	6	3	1		1	0.609184868	-0.669491525	710.2978723	11	15	12	2	4	2	-0.569613703	-0.319727891	-0.091316561	-0.264620566	-0.555555556	0.614928461	-0.415535445	-0.188907176	R01_R78	-0.512681159	-0.584065612	-0.784722222	-0.833333333	-0.626436782	-0.75	-0.653153153	-0.666666667	-0.666666667	-0.666666667	6.01	12.01	18.01	24.01
CC1DCD1756	R20	-0.527777778	923.0526316	3	5	2	5	4		0.657567948	-0.352941176	301.4375	7	8	7	4	4	2	-0.466423277	-0.536458333	897.4090909	3	4	4	3	6	2	0.358076473	-0.461352657	642.8356164	13	17	13	12	14	4	0.473747365	-0.275193798	0.179887555	-0.51899525	-0.5	-0.437306698	-0.368055556	-0.299281057	R01_R78	-0.221649485	-0.409803922	-0.679824561	-0.449955317	-0.37037037	-0.264705882	-0.330601093	-0.411111111	-0.416666667	-0.378787879	6.01	12.01	18.01	24.01
CC1DCD1794	R21	-0.5	605.8421053	5	5	2	3	2	2	0.490573553	-0.572463768	365.0909091	7	3	4	4	1	3	-0.297287839	-0.542735043	667.24	7	5		4	3	6	0.438123147	-0.470037453	548.8484848	19	13	6	11	6	11	0.344765212	-0.272222222	0.140156074	-0.596733438	-0.739583333	-0.720418038	-0.308943089	-0.146993323	R01_R78	-0.423076923	-0.55870021	-0.747619048	-0.577410468	-0.563492063	-0.444444444	-0.511494253	-0.555555556	-0.552631579	-0.554054054	6.01	12.01	18.01	24.01
CC1DCD177B	R22	0.492063492	1166.958333	7	6	4	4	3		-0.550001607	-0.552631579	260.2941176	5	4	3	2		3	0.441287879	-0.484848485	662.6315789	5	4	4	3	2		-0.455832037	-0.277777778	750.3666667	17	14	11	9	5	3	-0.442248727	-0.29954955	0.073225494	0.226011073	0.666666667	0.793050863	-0.303030303	0.288074372	R01_R78	-0.468468468	-0.549420586	-0.807692308	0.432839699	-0.62745098	-0.535714286	-0.586021505	-0.630952381	-0.462962963	-0.565217391	6.01	12.01	18.01	24.01
CC1DCD17A1	R23	-0.577380952	900.5	2	5	3	4	5	4	0.438178192	-0.5	737.2222222	2	5	4	3	4		0.557666667	-0.535714286	767.7083333	3	7	5	4	2	3	-0.552943175	-0.43974359	807.6818182	7	18	12	11	11	7	0.436047988	-0.329166667	0.170924341	0.460254949	-0.648148148	-0.558356969	-0.391797557	-0.247114171	R01_R78	-0.358843537	-0.490807934	-0.587719298	-0.650877193	-0.18627451	-0.353333333	-0.257062147	-0.238095238	-0.422619048	-0.343537415	6.01	12.01	18.01	24.01
CC1DCD174D	R24	-0.522222222	1376.272727	4	2	3		1		-0.643755684	-0.688888889	680	5	2	3	1			-0.606729758	-0.616666667	723.6363636	5	1	4	1			0.491308793	-0.608333333	926.6363636	14	5	10	2	1		-0.575933741	-0.298941799	0.170171003	0.324361485	-0.733333333	-0.73036223	-0.405472637	-0.252620318	R01_R78	-0.467078189	-0.556315104	-0.716049383	-0.738442822	-0.518518519	-0.474358974	-0.506802721	-0.508333333	-0.566666667	-0.494047619	6.01	12.01	18.01	24.01
