rfid	coatcolor	cued_age	epm1_age	ext01_age	lga01_age	oft1_age	pr_age	prime_age	site	surgery_weight	tf1_age	lga_total_heroin_consumption	lga_total_heroin_consumption_bysex	lga_escalation_of_heroin_intake_12h	lga_escalation_of_heroin_intake_12h_bysex	lga_escalation_of_heroin_intake_1h	pr_breakpoints	pr_break_points_bysex	prime_active	prime_active_bysex	prime_extinction_before_priming_active	ext_burst	ext_burst_bysex	ext_day_6_active	ext_day_6_active_bysex	ext_de_escalation	cued_active	cued_active_bysex	epm_percent_open_1	epm_percent_open_2	epm_percent_closed_1	epm_percent_closed_2	oft_distance_1	oft_distance_2	oft_time_1	oft_time_2	tf_bl_1	tf_bl_2	tf_test_1	tf_test_2	fst_swim	fst_climb	fst_float	fst_dive	room_box
933000320188202	BLACK	114	70	108	82	70	103	107	us	196	70	13580	0.550351995	1120	1.006143796	120	15	0.500971122	6	-0.438932869	16	22	0.853356082	6	-0.368152076	-11	23	0.130513933	4.333333333	12.53333333	60.16666667	43.66666667	9560	13055	1083.4	949.8	2.275	2.45	5.075	4.175	46	13	1	0	R_3
933000320188086	BLACKHOOD	114	70	108	82	70	103	107	us	258	70	11480	0.876681434	1326.67	1.803867393	180	20	0.894781694	6	-0.130362509	7	5	-0.398347365	4	-0.495930273	-3	13	-0.28820266	3.1	38.4	57.33333333	25.46666667	7878	6018	1035	697.5	2.225	2.15	7.95	4.75	48	10	2	0	R_1
933000320188084	BROWNHOOD	114	70	108	82	70	103	107	us	267	70	5200	-0.347894841	-33.33	-0.675121224	20	4	-0.593946747	4	-0.256246916	4	7	-0.266949864	9	0.036626429	6	4	-0.798496171	12.86666667	16.76666667	58.93333333	48.03333333	5185	6288	632.4	663.6	2.475	1.875	5.85	4.725	46	0	14	0	R_1
933000320188087	BLACK	114	70	108	82	70	103	107	us	184	70	2220	-1.249977401	360	-0.023574684	66.66666667	4	-0.774796837	9	-0.163695693	1	2	-0.964220726	1	-0.877478426	-2	9	-0.660067773	11.16666667	49.3	67.83333333	38.56666667	7723	8220	900.5	708	2.15	2.325	4.925	7.225	34	16	10	0	R_3
933000320188094	BROWNHOOD	114	70	108	82	70	103	107	us	190	70	5640	-0.707976826	-80	-0.619727488	53.33333333	4	-0.774796837	3	-0.714170045	2	10	-0.237190003	7	-0.266286806	-8	2	-1.055358626	7.233333333	12.06666667	67.03333333	38.7	8799	6067	986.2	662.3	2.975	2.725	5.7	4.6	48	5	7	0	R_3
933000320188089	ALBINO	110	67	104	78	67	99	103	us	280	67	4080	-0.56629061	426.67	0.16336022	153.3333333	1	-0.87308333	0	-0.508015731	1	3	-0.529744867	7	-0.176396252	7	8	-0.571699055	6.5	19.23333333	59.43333333	41.6	11678	7163	1354	820.5	2.375	2.25	7.975	4.5	43	5	12	0	R_2
933000320188100	BROWNHOOD	109	66	103	77	66	98	102	us	268	66	9360	0.463289443	100	-0.4320892	133.3333333	6	-0.407855692	3	-0.31918912	4	5	-0.398347365	12	0.356160451	-5	21	0.165391573	21.53333333	27.9	53	49.63333333	5533	4228	822.7	606.8	3.375	2.1	5.225	4.75	53	0	7	0	R_2
933000320188090	BROWN	110	67	104	78	67	99	103	us	182	67	4920	-0.82208221	-100	-0.646825343	13.33333333	0	-1.238712458	29	1.671218815	12	21	0.762477242	12	0.243039545	-4	21	0.017573689	6.1	29.56666667	58.26666667	45.03333333	9210	8971	904.1	768.5	2.05	2.3	5.7	4.4	47	7	6	0	R_4
933000320188092	BROWNHOOD	109	66	103	77	66	98	102	us	184	66	3540	-1.040784197	-133.33	-0.691983917	-33.33333333	2	-1.006754647	2	-0.80591577	3	0	-1.145978406	4	-0.571882616	2	3	-0.998888504	9.2	16.8	64.36666667	38.26666667	7930	6926	887.4	530.1	2.6	1.85	4.925	4.45	45	10	5	0	R_4
933000320188731	ALBINO	109	66	103	77	66	98	102	us	264	66	8800	0.354091559	1173.33	1.524361426	100	20	0.894781694	12	0.247290713	5	35	1.572615153	16	0.782205813	9	40	1.242677875	9.2	8.6	51.06666667	30.2	5424	6226	792.8	760.2	2.425	2.075	5.3	3.925	50	7	3	0	L_2
933000320188742	BLACK	108	65	102	76	65	97	101	us	269	65	6880	-0.020301188	753.33	0.758791412	0	25	1.360009332	3	-0.31918912	1	9	-0.135552363	5	-0.389418933	-4	6	-0.685097613	19.63333333	34.6	59.33333333	39.1	8868	5073	1061.2	540.8	1.65	2.225	8.9	7.05	47	2	11	0	L_2
933000320188738	BROWN	109	66	103	77	66	98	102	us	173	66	13760	0.578878341	1453.33	1.457770192	220	25	1.660760176	43	2.95565897	14	20	0.671598401	97	8.901587501	58	26	0.299924299	18.13333333	2.933333333	49.33333333	47.36666667	4942	4581	536	447.9	1.525	2.575	4.325	1.6	47	9	4	0	L_4
933000320188748	BLACK	108	65	102	76	65	97	101	us	181	65	14120	0.635931034	360	-0.023574684	20	12	0.153034406	9	-0.163695693	17	29	1.489507965	31	2.178479676	21	28	0.412864543	1.666666667	21.13333333	81.23333333	54.43333333	7804	8502	797.9	783.1	2.1	1.7	4.575	2.05	55	2	3	0	L_4
933000320188460	BLACKHOOD	108	65	102	76	65	97	101	us	288	65	880	-1.190278521	-53.33	-0.711576939	6.666666667	1	-0.87308333	3	-0.31918912	1	1	-0.661142368	0	-0.921975635	-1	5	-0.741796892	7.3	5.533333333	68.3	61.33333333	5166	5980	645.7	658.4	2.075	1.625	2.95	3.275	37	7	16	0	L_2
933000320188472	BROWNHOOD	107	64	101	75	64	96	100	us	247	64	9320	0.455489594	1166.67	1.512221673	100	25	1.360009332	0	-0.508015731	12	33	1.441217652	18	0.995228494	-14	35	0.95918148	0	22.93333333	91	52.3	8343	7022	836.4	683.2	2.6	2.25	9.975	4.875	49	7	1	3	L_2
933000320188459	BLACKHOOD	108	66	102	76	66	97	101	us	174	66	13540	0.544012807	-420	-1.080391018	6.666666667	4	-0.774796837	4	-0.622424319	15	19	0.580719561	10	0.039309005	-1	18	-0.151836676	14.5	42.9	57.76666667	27.36666667	5035	3208	655.5	437.3	2	3.025	4.65	4.65	32	3	25	0	L_4
933000320188473	BROWNHOOD	107	65	101	75	65	96	100	us	191	65	12520	0.382363513	760	0.518382411	120	12	0.153034406	3	-0.714170045	3	16	0.30808304	3	-0.673747886	-10	12	-0.490657408	27.8	0	40.73333333	61	4339	2725	453.7	319.6	2.55	2.6	6.4	3.425	55	5	0	0	L_4
933000320188623	BLACK	107	65	101	75	65	96	100	us	254	65	14060	1.379771688	-393.33	-1.331324093	106.6666667	12	0.150417473	10	0.121406306	7	22	0.718531395	3	-0.602441614	-9	23	0.278790131	3.333333333	5.533333333	53.16666667	60.76666667	10561	10384	1185.7	1053.7	1.525	1.525	7.7	6.875	51	3	6	0	L_2
933000320188619	BROWN	106	64	100	74	64	95	99	us	243	64	10880	0.759683701	406.67	0.126904505	53.33333333	9	-0.128719109	4	-0.256246916	3	25	0.915627647	6	-0.282907592	-38	24	0.33548941	3.666666667	1.966666667	60.93333333	62.26666667	8041	6594	1017	752	2.225	2.25	6.125	5.525	51	8	1	0	L_2
933000320188610	BROWNHOOD	107	65	101	75	65	96	100	us	176	65	15140	0.797580328	-780	-1.568152403	80	9	-0.19490231	13	0.203287209	5	30	1.580386805	16	0.650500625	-17	33	0.695215152	7.366666667	32.06666667	65.8	44.06666667	6265	6390	605.8	658.5	2.6	1.575	7.575	2.175	53	6	1	0	L_4
933000320188620	BLACK	106	64	100	74	64	95	99	us	164	64	18400	1.314224151	360	-0.023574684	86.66666667	32	2.472612513	1	-0.897661495	14	33	1.853023327	0	-0.979343696	-65	20	-0.038896432	17.43333333	38.03333333	54.53333333	41.56666667	15025	13579	1365.1	1002.3	2.925	2.675	5.9	2.85	48	11	1	0	L_4
933000320188516	BLACKHOOD	115	70	109	83	70	104	108	us	271	70	2100	-0.95238313	-126.6666667	-0.84525397	-60	1	-0.87308333	5	-0.193304713	1	6	-0.332648615	2	-0.708952954	0	0	-1.025293288	0	18.26666667	79.6	56	8242	7253	1061.2	935.1	1.575	1.475	2.55	3.725	42	2	16	0	R_1
933000320188507	ALBINO	115	70	109	83	70	104	108	us	321	70	10040	0.595886874	113.3333333	-0.40778539	20	9	-0.128719109	9	0.058464102	8	6	-0.332648615	3	-0.602441614	2	4	-0.798496171	3.9	34.46666667	69.16666667	35.03333333	6391	4333	901.9	508.1	2.4	2.675	7.525	7.575	50	6	4	0	R_1
933000320188515	BLACK	115	70	109	83	70	104	108	us	170	70	10320	0.033708172	413.3333333	0.048686262	140	9	-0.19490231	4	-0.622424319	3	7	-0.509826524	5	-0.470017346	3	10	-0.603597651	17.13333333	45.3	51.1	30.93333333	7498	4988	767.1	391.7	2.725	3	7.925	6.875	46	8	6	0	R_3
