rfid	dd_indiff_0	dd_indiff_2	dd_indiff_4	dd_indiff_8	dd_indiff_16	dd_indiff_24	dd_hyperbolic_k	dd_hyperbolic_lnk	dd_hyperbolic_b	dd_auc_trad	dd_auc_norm0	dd_quasi_h_k_beta	dd_quasi_h_s_delta	dd_expon_k
933000320045751	119.2097978	111.1862158	70.93077333	49.20581467	22.28633333	30.258215	0.152785976	-1.878717185	0.794731985	0.319148046	0.401579465	0.815570606	0.905189208	0.142228573
933000320045756	96.07568028	82.69434333	71.24579367	62.43185	37.15242194	31.230381	0.083817147	-2.47911767	0.640504535	0.35331493	0.551619716	0.59500125	0.952806292	0.13202826
933000320045757	119.4222207	57.09367083	58.94634778	43.28417528	42.05892889	29.90886167	0.249251568	-1.389292581	0.796148138	0.312850149	0.392954695	0.409957636	0.971603771	0.243264085
933000320045759	160.2909389	112.4204972	129.0112669	69.61407267	31.81022722	26.974896	0.151993548	-1.883917207	1.068606259	0.431175437	0.403493273	0.987392228	0.921055282	0.083836377
933000320045760	184.36821	141.3425361	97.86952933	90.60222708	45.68577867	31.55022	0.172621139	-1.756656036	1.2291214	0.498878428	0.405882143	1.008066269	0.931036645	0.07053266
933000320045761	141.1819139	119.2670194	117.3244944	69.03593306	48.18114528	27.72961967	0.109308545	-2.213580705	0.941212759	0.456186854	0.484679845	0.944831939	0.931181745	0.078146435
933000320045766	197.5352167	183.7041375	107.1967614	87.89047222	46.58496194	32.34379417	0.159247057	-1.837298464	1.316901444	0.532203189	0.404132892	1.322623515	0.906606373	0.063199442
933000320045768	140.6096972	95.46481389	56.34326389	42.58446472	32.85005533	27.88351583	0.272465531	-1.300243164	0.937397981	0.314002892	0.33497287	0.615147104	0.932661183	0.181681024
933000320045769	124.0605889	114.4232556	70.94532972	75.09289667	43.75600306	36.58070722	0.105510815	-2.248941824	0.827070593	0.420186478	0.508041855	0.743348709	0.947219771	0.093662928
933000320045772	155.1861639	98.049627	73.80942472	37.72614444	32.0516625	29.34969556	0.287117838	-1.247862563	1.034574426	0.325800734	0.314912804	0.697546165	0.922737821	0.157928361
933000320045803	275.0856333	184.6854389	126.27316	81.755908	52.09204542	19.958315	0.285621077	-1.253089251	1.833904222	0.558439184	0.304508369	1.426260833	0.898436989	0.063307103
933000320045804	169.5166778	162.0326861	91.36894722	74.05688333	38.89065556	27.70231389	0.158900074	-1.839479742	1.130111185	0.453879081	0.401623386	1.177214283	0.900694888	0.08070226
933000320045812	106.3344208	125.6964258	82.80778278	97.55892611	21.70056417	40.74483833	0.061666682	-2.786011501	0.708896139	0.424468901	0.598774458	0.897261847	0.932969932	0.082985291
933000320045821	140.0645856	105.5257883	56.81509167	37.84701267	27.30326806	19.963736	0.273910924	-1.294952321	0.933763904	0.290812389	0.311441027	0.777139499	0.888744063	0.182734802
933000320045822	106.9232017	62.79204533	52.94811167	60.60778389	37.76208367	26.32297056	0.165254955	-1.800265813	0.712821344	0.322885245	0.452967981	0.451899408	0.9653709	0.203587367
933000320045877	264.14726	264.861025	226.5496133	196.27634	81.99021567	35.09419875	0.083693491	-2.480594067	1.760981733	0.957631864	0.543805677	2.119063122	0.924437346	0.021843492
933000320045878	234.588354	96.28900667	90.90414667	29.22039467	22.9534175	19.61739433	0.586409094	-0.533737621	1.56392236	0.315916137	0.202002443	0.849251714	0.88407359	0.159254896
933000320045880	114.0287272	86.13115694	96.12989028	76.01045111	47.38506139	35.02769111	0.078951755	-2.538918309	0.760191515	0.430537409	0.566353874	0.692035581	0.956478088	0.087127656
933000320045881	177.6240844	91.48991583	80.75181833	32.712121	35.29372167	18.63769917	0.387886912	-0.947041446	1.184160563	0.321120185	0.271179598	0.708811821	0.914843302	0.163070088
