rfid	locomotor_cage	locomotor_t1_age	locomotor_t2_age	locomotor_t1_total_distance	locomotor_t1_rest_time	locomotor_t1_rest_episode_count	locomotor_t1_movement_episode_count	locomotor_t1_vertical_activity_count	locomotor_t1_center_time_legacy	locomotor_t2_total_distance	locomotor_t2_rest_time	locomotor_t2_rest_episode_count	locomotor_t2_movement_episode_count	locomotor_t2_vertical_activity_count	locomotor_t2_center_time_legacy	locomotor_fecal_boli_box	locomotor_fecal_boli_1	locomotor_fecal_boli_2	locomotor_fecal_boli_change	locomotor_fecal_boli_age_1	locomotor_fecal_boli_age_2
933000320047549	1	75	76	3189.11	190.94	94	105	1654	134.06	971.36	441.42	162	166	648	27.41	7	3	3	0	75	76
933000320047626	2	84	85	2264.66	431.15	138	144	1192	213.33	2368.48	413.58	151	155	1276	96.16	35	6	4	-2	84	85
933000320047632	3	86	87	5446.42	231.92	111	120	1859	194.13	4174.11	346.01	137	145	1572	93.67	36	5	2	-3	86	87
933000320047633	4	82	83	3822.43	392.09	140	142	1381	93.63	3508.48	390.37	145	150	1042	62.54	6	0	0	0	82	83
933000320047634	1	86	87	4729.97	288.24	122	134	1591	120.97	4266.74	369.47	128	134	1414	88.89	33	0	0	0	86	87
933000320047635	2	80	81	3670.77	307.87	137	148	1323	73	3424.1	396.35	170	175	1471	100.55	11	1	0	-1	80	81
933000320047636	4	80	81	2279.47	491.38	162	170	1413	271.71	3006.4	451.52	157	165	1483	116.56	2	0	0	0	80	81
933000320047638	3	86	87	3209.19	273.44	124	133	1624	171.83	2371.41	333.41	139	149	1285	138.38	40	0	0	0	86	87
933000320047639	2	84	85	3300.82	319.11	130	135	1553	253.39	2522.2	401.24	151	158	1056	421.58	27	0	0	0	84	85
933000320047640	2	86	87	2073.99	529.03	145	149	866	38.35	3120.88	455.7	150	156	1053	45.68	33	1	2	1	86	87
933000320047645	1	82	83	1948.38	404.79	127	132	1222	184.29	2331.87	369.06	143	149	1218	167.2	13	3	5	2	82	83
933000320047646	2	82	83	3193.76	319.57	145	153	1231	269.63	3200.28	324.69	137	146	1385	213.43	13	4	1	-3	82	83
933000320047649	1	86	87	4496.58	322.04	151	158	1622	96.05	4607.19	384.15	120	123	1437	126.53	27	8	0	-8	86	87
933000320047677	1	70	71	5026.39	321.62	126	137	1720	134.32	4988.62	385.13	155	164	1798	102.88	19	2	0	-2	70	71
933000320047679	3	70	71	899	431.93	156	158	1074	44.89	412.86	507.83	185	191	641	19.82	20	4	7	3	70	71
933000320047684	2	77	78	3065.95	346.43	142	155	1287	128.94	2353.14	436.51	160	167	880	200.68	49	0	0	0	77	78
