rfid	soc_totalti_max	soc_totalti_16_5	soc_totalti_13_5	soc_totalti_10_5	soc_totalti_7_5	soc_totalti_4_5	soc_totalti_1_5	soc_totalti	soc_totalrf	soc_totalrs_max	soc_totalrs_16_5	soc_totalrs_13_5	soc_totalrs_10_5	soc_totalrs_7_5	soc_totalrs_4_5	soc_totalrs_1_5	soc_totalrs	soc_opconti_max	soc_opconti_16_5	soc_opconti_13_5	soc_opconti_10_5	soc_opconti_7_5	soc_opconti_4_5	soc_opconti_1_5	soc_opconti	soc_opconrf	soc_opconrs_max	soc_opconrs_16_5	soc_opconrs_13_5	soc_opconrs_10_5	soc_opconrs_7_5	soc_opconrs_4_5	soc_opconrs_1_5	soc_opconrfq	soc_opconrs	soc_midconti_max	soc_midconti_16_5	soc_midconti_13_5	soc_midconti_10_5	soc_midconti_7_5	soc_midconti_4_5	soc_midconti_1_5	soc_midconti	soc_midconrf	soc_midconrs_max	soc_midconrs_16_5	soc_midconrs_13_5	soc_midconrs_10_5	soc_midconrs_7_5	soc_midconrs_4_5	soc_midconrs_1_5	soc_midconrfq	soc_midconrs	soc_socialti_max	soc_socialti_16_5	soc_socialti_13_5	soc_socialti_10_5	soc_socialti_7_5	soc_socialti_4_5	soc_socialti_1_5	soc_socialti	soc_socialrf	soc_socialrs_max	soc_socialrs_16_5	soc_socialrs_13_5	soc_socialrs_10_5	soc_socialrs_7_5	soc_socialrs_4_5	soc_socialrs_1_5	soc_socialrfq	soc_socialrs	soc_age	soc_box_id
0007D3CBE4	12901	12901	6179	9251	6743	9405	7444	51923	87	92	57	31	39	46	53	92	318	4264	2905	856	4264	1973	1291	2551	13840	27	24	18	4	13	12	24	20	0.286163522	91	2069	2069	1430	1575	1803	1950	667	9971	26	28	11	6	16	10	12	28	0.261006289	83	7927	7927	3416	3412	2967	6164	4226	28112	34	44	28	21	10	24	17	44	0.452830189	144	58	S8
0007D3CBFD																																																																									
0007D3CCC7	6846		6846	2755	5057	3878	4863	23399	44	54	0	14	37	9	30	54	144	2668		2668	1334	1768	1882	1698	9350	16	16	0	6	13	4	9	16	0.333333333	48	1689		1689	790		1405	1367	5251	14	15	0	3	15	2	5	13	0.263888889	38	3289		2489	631	3289	591	1798	8798	14	25	0	5	9	3	16	25	0.402777778	58	66	S7
0007D3CD3C																																																																									
0007D3CE23	18383	18383	3128	11762	16343	9451	7414	66481	76	173	61	125	134	13	96	173	602	3742	2888	123	3205	2429	2469	3742	14856	28	58	6	58	36	7	32	58	0.327242525	197	13624	9133	952	7145	13624	5843	2759	39456	30	89	18	51	89	4	39	56	0.426910299	257	6362	6362	2053	1412	290	1139	913	12169	18	59	37	16	9	2	25	59	0.245847176	148	61	S7
0007D3CE70	9816	9089	2872	3997	7378	9816	5938	39090	50	115	18	11	10	27	46	115	227	2395	1443	986	1859	2395	721	2120	9524	20	46	8	6	5	10	20	46	0.418502203	95	1835	1045		237	439	1004	1835	4560	12	40	6	0	2	2	14	40	0.281938326	64	8091	6601	1886	1901	4544	8091	1983	25006	18	29	4	5	3	15	12	29	0.299559471	68	60	S4
0007D3CF30	10024	4185	10024	5729	8438	5788	7501	41665	66	98	10	21	32	22	78	98	261	3409	3409	288	1499	2786	3245	1981	13208	27	40	5	13	3	10	21	40	0.352490421	92	3123	418	731	3123	1587	1572	2048	9479	19	41	4	5	18	7	41	31	0.406130268	106	9005	358	9005	1107	4065	971	3472	18978	20	27	1	3	11	5	16	27	0.24137931	63	62	S4
0007D3CFEC	15789	11935	15789	11762	14747	4358	4376	62967	57	141	18	17	9	14	141	60	259	5203	5203	2033	4343	3840	2862	772	19053	19	26	8	10	3	4	23	26	0.285714286	74	5058		5058	888	3379	338	997	10660	16	18	1	4	2	6	5	18	0.138996139	36	8698	6732	8698	6531	7528	1158	2607	33254	22	113	9	3	4	4	113	16	0.575289575	149	65	S2
0007D3D000	15255	10991	5542	13677	15255	11720	14819	72004	69	104	28	7	40	37	45	104	261	8273	8273	4456	3847	7787	2782	5288	32433	26	38	26	5	5	21	19	38	0.436781609	114	5726	488	1086	241	5632	5726	3485	16658	21	36	1	2	5	6	9	36	0.22605364	59	9589	2230		9589	1836	3212	6046	22913	22	30	1	0	30	10	17	30	0.337164751	88	60	S2
0007D3D0C2																																																																									
0007D3D19B	9707	9439	5649	7607	9707	6379	5106	43887	73	131	74	11	49	59	83	131	407	2699	1919	8	400	1911	2699	2245	10908	26	32	3	2	21	15	21	32	0.230958231	94	3187		2001	3187	1471	1809	1154	9622	22	34	2	4	4	12	20	34	0.186732187	76	7520	7520	3640	2294	6325	1871	1707	23357	25	69	69	5	24	32	42	65	0.582309582	237	60	S2
0007D3D2E8																																																																									
0007D3D35C																																																																									
0007D3D38C	11372	4907	6915	5870	11372	5158	5675	39897	70	81	16	15	32	60	61	81	265	4235	606	4235	1545	3022	1717	1460	12585	23	25	10	5	18	22	25	23	0.388679245	103	3997	178	547	1276	3997	1401	506	7905	23	36	2	6	5	4	19	36	0.271698113	72	4353	4123	2133	3049	4353	2040	3709	19407	24	34	4	4	9	34	17	22	0.339622642	90	60	S6
0007D3D424																																																																									
0007D3D476																																																																									
0007D3D4C4	11369	623	11130	11369	5670	11007	8625	48424	74	118	22	48	23	101	89	118	401	3970		1633	3970	681	2314	1453	10051	20	20	0	8	5	6	15	20	0.134663342	54	4037	203	934	374	749	4037	2173	8470	22	22	4	2	4	4	9	22	0.112219451	45	8563	420	8563	7025	4240	4656	4999	29903	32	91	18	38	14	91	65	76	0.753117207	302	69	S8
0007D3D4EB	7750	546	2991	1835	3499	7014	7750	23635	62	93	4	3	18	29	50	93	197	2551	389		1196	1453	2551	1535	7124	20	35	2	0	4	6	12	35	0.299492386	59	2774	51	1759		620	2774	2391	7595	20	19	1	2	0	5	16	19	0.218274112	43	3824	106	1232	639	1426	1689	3824	8916	22	39	1	1	14	18	22	39	0.482233503	95	61	S5
