rfid	soc_totalti_max	soc_totalti_16_5	soc_totalti_13_5	soc_totalti_10_5	soc_totalti_7_5	soc_totalti_4_5	soc_totalti_1_5	soc_totalti	soc_totalrf	soc_totalrs_max	soc_totalrs_16_5	soc_totalrs_13_5	soc_totalrs_10_5	soc_totalrs_7_5	soc_totalrs_4_5	soc_totalrs_1_5	soc_totalrs	soc_opconti_max	soc_opconti_16_5	soc_opconti_13_5	soc_opconti_10_5	soc_opconti_7_5	soc_opconti_4_5	soc_opconti_1_5	soc_opconti	soc_opconrf	soc_opconrs_max	soc_opconrs_16_5	soc_opconrs_13_5	soc_opconrs_10_5	soc_opconrs_7_5	soc_opconrs_4_5	soc_opconrs_1_5	soc_opconrfq	soc_opconrs	soc_midconti_max	soc_midconti_16_5	soc_midconti_13_5	soc_midconti_10_5	soc_midconti_7_5	soc_midconti_4_5	soc_midconti_1_5	soc_midconti	soc_midconrf	soc_midconrs_max	soc_midconrs_16_5	soc_midconrs_13_5	soc_midconrs_10_5	soc_midconrs_7_5	soc_midconrs_4_5	soc_midconrs_1_5	soc_midconrfq	soc_midconrs	soc_socialti_max	soc_socialti_16_5	soc_socialti_13_5	soc_socialti_10_5	soc_socialti_7_5	soc_socialti_4_5	soc_socialti_1_5	soc_socialti	soc_socialrf	soc_socialrs_max	soc_socialrs_16_5	soc_socialrs_13_5	soc_socialrs_10_5	soc_socialrs_7_5	soc_socialrs_4_5	soc_socialrs_1_5	soc_socialrfq	soc_socialrs	soc_age	soc_box_id
00077E6B83	15334	15334	15166	11153	11834	10500	9140	73127	88	221	105	92	116	221	130	137	801	6091	6091	4031	1949	4124	4544	2556	23295	29	31	6	17	13	31	20	18	0.131086142	105	2480	1187	2400	2480	1037	1389	1068	9561	25	31	31	31	7	6	16	24	0.143570537	115	8735	8056	8735	6724	6673	4567	5516	40271	34	184	68	44	96	184	94	95	0.725343321	581	72	S1
00077E6C69	11941	7394	1812	11941	5289	9917	5759	42112	68	175	8	16	37	41	48	175	325	4949	743	895	4949	1026	3175	1743	12531	24	40	1	2	4	2	14	40	0.193846154	63	3253	100	31	3012	1009	285	3253	7690	20	27	2	1	4	12	8	27	0.166153846	54	6457	3157	886	3980	3254	6457	763	21891	24	108	5	13	29	27	26	108	0.64	208	72	S5
00077E77AF	11848	6798	11588	11807	11729	11848	10525	64295	81	100	17	43	35	57	55	100	307	3744	3179	2965	3744	1705	2596	1634	15823	26	32	7	6	3	32	17	25	0.293159609	90	3208		1576	1105	1886	2213	3208	9988	21	32	0	12	5	10	17	32	0.247557003	76	8138	3619	7047	6958	8138	7039	5683	38484	34	43	10	25	27	15	21	43	0.459283388	141	65	S8
00077E7570	7170	4236	6857	7170	4276	6098	6544	35181	63	106	31	57	21	25	70	106	310	3413	3271	482	3413	2781	1496	1664	13107	24	17	14	1	17	6	8	17	0.203225806	63	4037	874	564	3211	718	1938	4037	11342	20	40	3	3	2	11	40	31	0.290322581	90	5811	91	5811	546	777	2664	843	10732	19	58	14	53	2	8	22	58	0.506451613	157	62	S8
00077E7582	16474	16474	13584	12184	10756	12972	8871	74841	85	77	68	34	39	41	54	77	313	10424	9068	10424	7584	5054	4822	1251	38203	27	55	55	14	22	16	12	27	0.466453674	146	4294	4294	955	1647	2610	3874	1450	14830	25	21	4	3	7	4	21	14	0.169329074	53	6170	3112	2205	2953	3092	4276	6170	21808	33	36	9	17	10	21	21	36	0.364217252	114	62	S8
00077E7588																																																																									
00077E7887																																																																									
00077E75A3	14157	8556	6784	6637	10312	14157	10971	57417	69	98	21	35	28	35	50	98	267	4021	2344	3105	3786	4021	1981	1460	16697	21	21	10	15	16	8	17	21	0.325842697	87	5295	963	1103		1111	5295	4538	13010	14	29	9	2	0	1	14	29	0.018726592	55	6881	124	2576	2851	5180	6881	4973	27710	34	48	2	18	12	26	19	48	0.468164794	125	55	S3
00077E75C8	16285	15051	7733	10442	12648	16285	9530	71689	86	109	42	57	66	76	109	107	457	8555	8555	4725	1468	3268	2308	1110	21434	26	42	18	7	14	42	37	26	0.315098468	144	2873	318	507	1390	2220	1961	2873	9269	24	33	7	4	23	12	33	27	0.013129103	106	10645	6178	2501	7584	7160	10645	5547	40986	36	54	17	46	29	22	39	54	0.452954048	207	71	S5
00077E75CD																																																																									
00077E75E2	10764	2266	7633	10764	4776	8669	4538	38646	57	81	19	22	17	35	44	81	218	4748	1851	2332	4748	408	872	1446	11657	21	25	15	9	8	6	18	25	0.371559633	81	910		84	112	910	149	147	1402	12	17	1	3	1	15	6	17	0.197247706	43	7648	415	5217	5904	3458	7648	2945	25587	24	39	3	10	8	14	20	39	0.431192661	94	58	S5
00077E7600	13265	7228	3698	4844	13265	7135	6954	43124	83	95	53	95	80	53	58	80	419	2493	2452	2493	1892	2407	2189	1924	13357	31	49	35	49	31	21	19	20	0.417661098	175	129	35	58	86	110	49	129	467	16	25	3	6	19	3	10	25	0.1575179	66	10748	4741	1147	2866	10748	4897	4901	29300	36	40	15	40	30	29	29	35	0.424821002	178	64	S5
00077E7607	17016	5500	6141	13589	11495	17016	8862	62603	65	95	16	41	11	27	26	95	216	2900	1905		1623	2765	2900	1709	10902	19	21	5	0	5	8	6	21	0.208333333	45	3380	1325	961	1271	1939	2849	3380	11725	18	35	3	1	1	4	6	35	0.023148148	50	11267	2270	5180	10695	6791	11267	3773	39976	28	40	8	40	5	15	14	39	0.560185185	121	59	S4
00077E7641	18072	6503	14399	18072	10069	12107	8797	69947	93	110	100	61	65	63	96	110	495	7689	186	7689	1527	3433	5866	2245	20946	27	33	19	20	11	12	21	33	0.234343434	116	2860	667	633	2611	2860	1458	2699	10928	30	43	14	14	9	14	43	39	0.01010101	133	9914	5650	6077	9914	3776	4783	3853	38073	36	67	67	27	45	37	32	38	0.496969697	246	62	S1
00077E9A08	11694	3802	9054	10077	10203	11694	6733	51563	67	75	37	75	48	40	47	71	318	1861	360	1645	1861	465	898	1200	6429	16	20	2	3	4	5	4	20	0.119496855	38	4464	1526	3004	1961	4464	2433	2943	16331	26	26	17	25	7	18	17	26	0.34591195	110	8363	1916	4405	6255	5274	8363	2590	28803	25	47	18	47	37	17	26	25	0.534591195	170	74	S1
00077E7647	9368	6096	5082	3065	9368	6327	5686	35624	77	94	19	60	45	43	59	94	320	2770	1495	1446	1274	2770	2324	726	10035	24	26	2	9	13	10	14	26	0.23125	74	2420	248	779	337	2048	1783	2420	7615	22	26	2	7	4	13	13	26	0.203125	65	4550	4353	2857	1454	4550	2220	2540	17974	31	44	15	44	28	20	32	42	0.565625	181	69	S4
00077E7649	13256	12392	5341	13256	5582	7956	3883	48410	63	83	30	74	28	65	83	75	355	4562	4562	137	325	397	1312	1002	7735	22	29	4	12	2	29	20	27	0.264788732	94	871	535		871	796	382	739	3323	22	24	3	0	14	6	24	16	0.177464789	63	12060	7295	5204	12060	4389	6262	2142	37352	19	62	23	62	12	30	39	32	0.557746479	198	61	S3
00077E765F	21386	18630	5196	21386	8435	4962	8779	67388	72	64	22	64	27	33	54	57	257	4355	1396	2091	4355	1851	1281	721	11695	23	23	2	23	8	17	19	18	0.338521401	87	4145	544	2837	2194	4145	2121	2931	14772	21	20	6	17	4	5	20	15	0.023346304	67	16690	16690	268	9873	2439	1560	5127	40921	28	24	14	24	15	11	15	24	0.40077821	103	69	S6
00077E7B9C	9946	1568	9946	449	6208	4947	5396	28514	46	115	8	19	27	28	51	115	248	2700	7	2700		1175	1308	1214	6771	13	23	3	7	0	15	4	23	0.209677419	52	1665	97	1395	417	940		1665	4514	12	37	2	1	1	2	15	37	0.233870968	58	5851	1464	5851	32	4093	3272	2517	17229	21	55	3	11	26	11	32	55	0.556451613	138	74	S3
00077E7664	9650	9650	1953	4660	8255	4841	8421	37780	65	72	23	17	35	27	32	72	206	2515	2515	133	1608	675	1264	1628	7823	19	29	8	11	29	7	14	17	0.417475728	86	2007		1492	62	1834	2007	908	6303	18	19	1	3	1	4	7	19	0.169902913	35	7135	7135	328	2990	5746	1570	5885	23654	28	36	14	3	5	16	11	36	0.412621359	85	67	S5
00077E769E	15176	6758	6425	15176	6995	8964	8956	53274	73	70	24	9	20	31	47	70	201	3473	3473		2406	335	1977	734	8925	16	22	3	0	8	11	12	22	0.278606965	56	4758	1363	2816	2088	2421	2894	4758	16340	24	17	3	4	4	10	13	17	0.253731343	51	10682	1922	3609	10682	4239	4093	3464	28009	33	31	18	5	8	10	22	31	0.467661692	94	64	S4
00077E76E7	16296	12496	8901	12591	14289	16296	7245	71818	90	152	91	99	62	84	88	152	576	8256	8256	1973	4733	4838	2710	1651	24161	29	56	13	56	26	27	32	32	0.322916667	186	5001	1045	5001	2169	3802	3544	1732	17293	30	63	7	22	11	32	33	63	0.291666667	168	10042	3195	1927	5689	5649	10042	3862	30364	31	71	71	21	25	25	23	57	0.385416667	222	59	S6
00077E9EF9																																																																									
00077E76EE	7288	746	7288	5741	2994	6629	6127	29525	51	61	3	6	27	21	34	61	152	2843		2843	488	1803	998	1613	7745	19	22	0	2	21	2	6	22	0.348684211	53	2334	603		2334	275	457	1784	5453	15	18	2	1	2	2	11	18	0.019736842	36	5174	143	4445	2919	916	5174	2730	16327	17	21	1	3	4	17	17	21	0.414473684	63	85	S6
00077E7714	19420	7734	11218	19420	12148	16615	14923	82058	92	132	34	45	59	43	71	132	384	4920	332	3987	4920	3555	3132	3405	19331	29	39	11	10	8	15	23	39	0.276041667	106	5187	3770	1534	5187	1570	3455	2630	18146	27	26	3	8	22	9	26	22	0.234375	90	10028	3632	5697	9313	7023	10028	8888	44581	36	71	20	27	29	19	22	71	0.489583333	188	83	S4
00077E772F	8207	2055	2805	4275	3707	8207	4339	25503	51	76	3	76	12	12	21	43	167	1665		431	1579	520	1665	1487	5682	16	15	0	3	5	9	6	15	0.22754491	38	1685	939	423	69	893	1685	1608	5732	17	13	2	2	2	1	8	13	0.167664671	28	4857	1116	1951	2627	2294	4857	1244	14089	18	71	1	71	5	2	7	15	0.604790419	101	83	S7
00077E9EFB																																																																									
00077E7746	14448	7223	11421	11863	5818	14448	5702	56475	63	103	15	29	22	46	46	103	261	7496	1752	7496	4400	258	2417	100	16423	19	30	5	13	8	30	9	27	0.352490421	92	3111	164	1448	469	271	3111	2091	7554	15	17	2	2	1	3	4	17	0.111111111	29	8920	5307	2477	6994	5289	8920	3511	32498	29	59	8	14	13	13	33	59	0.536398467	140	60	S6
00077E7754	9750	4912	3942	7163	9750	3484	7775	37026	59	54	11	15	19	13	37	54	149	1830	1004	584	1830		1152	933	5503	17	18	4	2	6	2	14	18	0.308724832	46	2658	1799	405	1804	1636	959	2658	9261	19	16	1	1	6	4	5	16	0.22147651	33	8114	2109	2953	3529	8114	1373	4184	22262	23	20	6	12	7	7	18	20	0.469798658	70	62	S8
00077E775B	13282	8602	7110	10620	10240	10050	13282	59904	81	127	49	31	24	34	53	127	318	7012	7012	1953	1403	3531	3347	2108	19354	35	30	28	6	8	12	13	30	0.305031447	97	4400	188	1125	1354	3659	653	4400	11379	20	57	2	3	3	9	13	57	0.01572327	87	7863	1402	4032	7863	3050	6050	6774	29171	26	40	19	22	13	13	27	40	0.421383648	134	64	S6
00077E9EFE																																																																									
00077E776B	11701	4160	11701	7533	6857	10169	5316	45736	91	94	34	30	43	69	69	94	339	3061	1113	1228	3061	1818	2329	530	10079	29	30	19	9	23	25	22	30	0.377581121	128	3215	882	1137	798	318	3215	999	7349	23	26	2	7	13	20	10	26	0.230088496	78	9336	2165	9336	3674	4721	4625	3787	28308	39	38	13	14	7	24	37	38	0.392330383	133	69	S7
00077E776D	11561	9488	7423	5732	10210	11561	9558	53972	69	69	51	21	13	27	42	69	223	3843	927	999	1688	3843	2164	1868	11489	23	41	41	2	4	7	9	18	0.3632287	81	3386	922	440	1623	2248	303	3386	8922	22	29	4	5	4	6	21	29	0.30941704	69	9094	7639	5984	2421	4119	9094	4304	33561	24	22	6	14	5	14	12	22	0.32735426	73	63	S6
00077E7777	18913	9993	10465	18913	16190	9209	9373	74143	103	150	70	38	50	89	100	150	497	4016	203	1005	1097	4016	1003	3652	10976	34	52	6	5	11	20	24	52	0.237424547	118	11900	6056	1822	11900	4414	1297	1701	27190	36	50	30	18	19	39	26	50	0.366197183	182	7760	3734	7638	5916	7760	5367	4020	35977	33	50	34	15	20	30	50	48	0.39637827	197	66	S1
00077EA02A																																																																									
00077E7779	10922	4054	10922	9529	9859	6939	8200	49503	68	86	34	62	60	51	74	86	367	2932	2377	1816	2206	2932	883	1280	11494	23	19	8	3	13	9	19	17	0.188010899	69	1948	298	161	19	1799	1353	1948	5578	15	28	4	6	1	12	13	28	0.174386921	64	8945	1379	8945	7304	5128	4703	4972	32431	30	53	22	53	46	30	42	41	0.63760218	234	64	S3
00077E7792	10551	8760	6711	470	10551	5511	4135	36138	64	85	44	18	30	52	66	85	295	1018	472	295	285	1018	933	747	3922	23	13	2	2	4	5	13	13	0.13220339	39	2435	56	379	185	410	154	2435	3619	18	25	9	3	1	3	25	13	0.183050847	54	9123	8232	6037		9123	4252	953	28597	23	59	33	13	25	44	28	59	0.684745763	202	59	S3
00077E7798	5803	1253	3938	3526	5803	4027	5622	24169	69	104	9	26	10	11	43	104	203	1945	208	432	289	1153	660	1945	4687	26	24	1	13	4	5	8	24	0.270935961	55	808	177	808	51	215	412	322	1985	21	32	5	2	1	3	5	32	0.014778325	48	4435	868	2698	3186	4435	2955	3355	17497	22	48	3	11	5	3	30	48	0.492610837	100	63	S5
00077E79B4	9012	3264	6699	5281	5254	9012	4885	34395	65	94	12	18	21	31	46	94	222	1982	1058	1982	501	1087	1862	965	7455	24	33	3	13	13	11	17	33	0.405405405	90	1465	312	757	408	1465	604	1188	4734	17	23	1	2	3	3	7	23	0.175675676	39	6546	1894	3960	4372	2702	6546	2732	22206	24	38	8	3	5	17	22	38	0.418918919	93	54	S4
00077E77A4	19803	11731	19803	17247	13816	11091	7899	81587	89	102	89	66	56	102	62	92	467	12193	2116	12193	7594	5840	3668	2167	33578	32	61	61	28	44	58	19	28	0.509635974	238	3638	41	227	328	3638	1832	2406	8472	25	24	8	24	6	9	15	15	0.164882227	77	9574	9574	7383	9325	4338	5591	3326	39537	32	49	20	14	6	35	28	49	0.325481799	152	65	S6
00077E77A9	15530	13051	15530	13986	4557	13726	6551	67401	63	104	50	60	27	48	65	104	354	4321	3102	802	3515	3024	4321	697	15461	22	30	4	2	4	7	18	30	0.183615819	65	3030	2035	93	44	247	3030	1919	7368	16	23	5	1	3	8	7	23	0.132768362	47	14635	7914	14635	10427	1286	6375	3935	44572	25	57	41	57	20	33	40	51	0.683615819	242	62	S2
00077E77AD	9276	9079	5467	4791	9276	5874	4216	38703	66	101	36	34	33	38	97	101	339	1449	26	505	1282	379	1449	733	4374	20	19	2	4	5	5	18	19	0.156342183	53	2697		2697	953	13	1724	1515	6902	17	28	3	3	12	12	18	28	0.224188791	76	9053	9053	2265	2556	8884	2701	1968	27427	29	61	31	27	16	21	61	54	0.619469027	210	73	S8
00077E9FBE																																																																									
00077E77B4	16199	16199	10062	10186	11619	3829	10945	62840	93	98	38	97	43	47	74	98	397	5495	1666	5495	2209	1472	2679	919	14440	29	27	17	17	10	19	21	27	0.279596977	111	574	385	159	74	574	30	349	1571	25	23	5	13	3	7	13	23	0.161209068	64	14148	14148	4408	4160	9573	1120	9677	46829	39	67	16	67	30	21	40	48	0.559193955	222	63	S5
00077E77B7	9919	1150	9919	5145	4452	5452	5262	31380	55	68	6	13	5	43	61	68	196	2105	685	2105	336	1641	1356	1933	8056	15	20	2	4	1	11	18	20	0.285714286	56	223	7	45		223	150	46	471	16	19	1	2	1	8	7	19	0.005102041	38	7769	458	7769	4809	2588	3946	3283	22853	24	36	3	7	3	24	36	29	0.520408163	102	59	S5
00077E77D1	15848	7730	13236	15848	13922	14363	7018	72117	87	160	61	39	38	62	89	160	449	7267		4832	5693	4049	7267	1087	22928	31	55	29	9	14	18	20	55	0.322939866	145	4134	1922	2097	4134	2009	2800	2749	15711	27	51	4	8	12	22	32	51	0.287305122	129	7864	5808	6307	6021	7864	2037	3182	33478	29	54	28	22	12	22	37	54	0.389755011	175	64	S8
00077E9FCE																																																																									
00077E77E1	10568	10568	4941	6798	4279	4978	2703	34267	77	63	55	16	24	54	40	63	252	4958	4958	1473	1970	25	1267	990	10683	26	25	15	7	7	25	15	14	0.329365079	83	3105	3105	299	1597	973	1638	742	8354	25	15	9	3	4	6	5	15	0.166666667	42	3281	2505	3169	3231	3281	2073	971	15230	26	34	31	6	13	23	20	34	0.503968254	127	83	S3
00077E77F4	15030	7235	3817	12310	6375	15030	10718	55485	76	133	44	12	34	51	71	133	345	5257	5257	943	2963	1140	3181	4008	17492	25	40	25	1	18	24	30	40	0.4	138	3919	669	1910	2395	983	1834	3919	11710	21	46	4	3	4	11	17	46	0.246376812	85	10015	1309	964	6952	4252	10015	2791	26283	30	47	15	8	12	16	24	47	0.353623188	122	70	S6
00077E7803	12576	8867	12576	10027	10692	6170	4464	52796	100	108	57	70	87	106	108	101	529	5531	2992	3063	5531	5073	1185	1384	19228	37	41	12	30	39	41	33	30	0.349716446	185	1863	670	474	1863	1615	1607	216	6445	23	29	8	10	14	27	17	29	0.198487713	105	9039	5205	9039	2633	4004	3378	2864	27123	40	58	37	30	34	38	58	42	0.451795841	239	66	S5
00077E7814	17361	11715	9309	10716	15079	17361	9380	73560	78	65	48	57	19	57	35	65	281	4984	3834	4685	4984	1790	3078	3788	22159	29	33	24	20	12	33	6	14	0.387900356	109	1740	1111	562	62	1740	527	701	4703	19	23	3	11	1	8	9	23	0.195729537	55	13756	6770	4062	5670	11549	13756	4891	46698	30	28	21	26	6	16	20	28	0.416370107	117	67	S6
00077E782C	10244	8444	8229	10244	3118	7641	6090	43766	99	138	117	76	76	66	138	133	606	6501	6133	6501	2921	1100	4131	1866	22652	34	51	51	29	19	20	18	36	0.285478548	173	3121	1236	577	3121	1356	1931	1561	9782	38	50	18	20	26	17	42	50	0.011551155	173	4202	1075	1151	4202	662	1579	2663	11332	27	78	48	27	31	29	78	47	0.429042904	260	62	S3
00077E783B	14043	14043	9669	4473	8111	11442	7709	55447	81	100	48	27	51	70	100	95	391	3108	3108		2006	2317	2538	879	10848	24	29	6	0	7	12	29	18	0.184143223	72	4127	4127	2343	2350	1809	1243	962	12834	30	37	37	10	27	26	24	29	0.391304348	153	7661	6808	7326	117	3985	7661	5868	31765	27	48	5	17	17	32	47	48	0.42455243	166	49	S2
00077E7863	18371	9173	14181	18371	12090	13481	7878	75174	96	186	107	72	39	117	139	186	660	2708	643	1214	443	2708	2170	982	8160	29	30	8	29	3	21	28	30	0.18030303	119	7520	3246	7520	4296	6146	2894	3115	27217	37	61	61	3	19	48	13	44	0.007575758	188	13632	5284	5447	13632	3236	8417	3781	39797	30	112	38	40	17	48	98	112	0.534848485	353	55	S1
00077E9FE1																																																																									
00077E78B9	13480	9223	13480	3964	7975	11726	9848	56216	80	176	36	23	176	106	66	95	502	8349	1875	7303	1538	2458	8349	2356	23879	26	123	12	7	123	53	16	41	0.501992032	252	4731	2	4035	1486	3061	996	4731	14311	22	26	7	4	19	13	17	26	0.171314741	86	7346	7346	2142	940	2456	2381	2761	18026	32	40	17	12	34	40	33	28	0.326693227	164	52	S3
00077E78C7	16308	7094	8187	13641	16308	7405	9972	62607	88	163	81	49	44	95	163	153	585	3636	2181	1318	3108	3405	3636	1210	14858	27	49	20	9	8	9	21	49	0.198290598	116	5304	2104	598	3978	5304	83	3854	15921	22	48	16	24	13	19	48	43	0.008547009	163	7599	2809	6271	6555	7599	3686	4908	31828	39	94	45	16	23	67	94	61	0.523076923	306	67	S2
00077E78DC	16371	8848	7777	16371	5883	12556	10562	61997	76	75	31	44	67	28	36	75	281	3510	2721	1357	1877	1420	1620	3510	12505	19	22	6	6	5	5	8	22	0.185053381	52	4849	3902	313	4849	1332	3124	2027	15547	24	46	18	30	46	9	5	21	0.459074733	129	7812	2225	6107	3051	2650	7812	5025	33945	33	32	7	8	16	14	23	32	0.355871886	100	84	S7
00077E78E8																																																																									
00077E78E9	13647	13647	5266	11692	11147	11461	11104	64317	65	61	14	57	15	29	50	61	226	5560	3345	3480	1810	2944	5560	1634	24307	27	15	4	15	10	13	14	13	0.305309735	69	3202	91	99	316	1364	1077	3202	6149	17	17	5	1	1	2	13	17	0.172566372	39	9566	4677	1687	9566	6839	4824	6268	33861	21	41	5	41	4	14	23	31	0.522123894	118	63	S6
00077E78F9																																																																									
00077E790D	12980	7795	7200	8742	12980	9832	6572	53121	84	191	52	89	164	191	83	98	677	4567	3395	1249	3091	4567	3593	1153	17048	31	145	14	48	33	145	30	27	0.438700148	297	4083	4083	538	1678	1598	2422	1639	11958	24	40	22	6	21	9	34	40	0.194977843	132	6815	317	5413	3973	6815	3817	3780	24115	29	110	16	35	110	37	19	31	0.366322009	248	63	S1
00077E791A	13256	1563	4253	3265	8537	13256	6015	36889	63	72	65	30	11	54	28	72	260	2123	76	148		2093	2123	440	4974	13	15	1	8	1	9	8	15	0.161538462	42	2403	1480	1442	439	2403	1067	1826	8657	21	30	6	10	6	11	12	30	0.011538462	75	10066	7	2569	2826	4041	10066	3749	23258	29	58	58	12	4	34	8	27	0.55	143	64	S1
00077E7933	12000	10367	12000	8390	6251	10632	7136	54776	76	432	38	92	212	432	170	244	1188	3467	3467	3187	417	1824	1139	1373	11407	25	37	18	16	16	11	19	37	0.098484848	117	2606	820	2216	725	116	1844	2606	8327	19	69	10	13	66	18	26	69	0.17003367	202	7649	6080	6597	7248	4311	7649	3157	35042	32	403	10	63	130	403	125	138	0.731481481	869	54	S6
00077E7939	19988	19988	9765	16593	7373	17587	6945	78251	76	102	14	16	31	68	68	102	299	5990	749	5990	1450	1176	1564	1029	11958	25	33	6	6	15	33	18	30	0.361204013	108	9652	300	1425	1471	3140	9652	1436	17424	27	31	2	5	6	9	12	31	0.217391304	65	18939	18939	2350	13672	3057	6371	4480	48869	24	41	6	5	10	26	38	41	0.421404682	126	59	S4
00077E7941	18539	15194	14072	18539	18084	12008	9293	87190	95	179	33	121	42	96	132	179	603	6158	4422	2102	6158	501	2469	3017	18669	30	49	8	47	11	46	49	48	0.346600332	209	4874	2519	493	350	4874	2969	4199	15404	28	71	12	17	12	17	34	71	0.014925373	163	12709	8253	11477	12031	12709	6570	2077	53117	37	60	13	57	19	33	49	60	0.383084577	231	60	S3
00077E7946	11318	2726	9793	11032	5716	11318	4006	44591	91	184	30	42	76	54	71	184	457	4909	1032	3638	4909	798	1408	1980	13765	31	44	7	9	29	27	15	44	0.286652079	131	2684	31	1420	2142	1947	2684	1323	9547	27	41	3	12	13	5	18	41	0.20131291	92	7226	1663	4735	3981	2971	7226	703	21279	33	99	20	21	34	22	38	99	0.512035011	234	59	S1
00077E7951	20242	7700	20242	13442	12510	12213	5216	71323	67	102	41	23	42	42	46	102	296	5843	4841	4777	5843	2529	802	2753	21545	22	44	22	3	10	9	9	44	0.327702703	97	1932	1238	1932	1374	467	1450	1481	7942	19	35	3	8	11	22	13	35	0.310810811	92	13533	1621	13533	6225	9514	9961	982	41836	26	24	16	12	21	11	24	23	0.361486486	107	53	S6
00077E7954	14623	6277	8739	12215	13327	14623	5703	60884	57	66	15	5	9	36	20	66	151	6989	3688	1193	4962	719	6989	2171	24821	19	20	5	1	3	20	8	16	0.350993377	53	2133	1975	1857	1144	1995	2133	846	9950	19	18	3	2	5	12	6	18	0.304635762	46	10613	614	590	6109	10613	5501	2686	26113	19	32	7	2	1	4	6	32	0.344370861	52	54	S2
00077E7956	11708	9086	4677	11361	11708	8284	7298	52414	64	120	26	11	24	62	38	120	281	2599	424	66	354	2599	764	2311	6518	16	20	7	1	4	17	7	20	0.199288256	56	2177		34	317	2177	666	1125	4319	18	22	0	4	10	5	8	22	0.174377224	49	10690	8662	4577	10690	6932	6854	3862	41577	30	78	19	6	10	40	23	78	0.62633452	176	64	S3
00077E7959	15304	13282	13528	8465	7053	15304	10896	68528	79	75	49	25	48	28	50	75	275	4580	4580	2399	1402	1804	1607	1876	13668	21	18	18	9	6	10	7	18	0.247272727	68	3648	2807	1720	3648	488	3006	1845	13514	20	26	14	2	2	8	26	20	0.261818182	72	10691	5895	9409	3415	4761	10691	7175	41346	38	40	17	14	40	10	17	37	0.490909091	135	72	S4
00077E797E	19160	11826	11881	19160	7266	9993	6345	66471	67	110	110	64	48	71	90	85	468	7596	2544	931	7596	1408	1925	2688	17092	20	43	14	25	39	43	43	27	0.408119658	191	4313	997	1336	4313	1075	690	1525	9936	21	25	19	15	5	11	14	25	0.19017094	89	9614	8285	9614	7251	4783	7378	2132	39443	26	77	77	24	4	17	33	33	0.401709402	188	81	S5
00077E797F	14095	12822	9178	14095	11759	9916	7814	65584	69	174	34	26	61	60	174	153	508	4269	3700	938	4269	2590	1329	2000	14826	17	66	18	13	14	17	66	44	0.338582677	172	7211	4641	4894	7211	545	819	1674	19784	27	73	4	3	14	28	73	57	0.007874016	179	8624	4481	3346	2615	8624	7768	4140	30974	25	52	12	10	33	15	35	52	0.309055118	157	66	S2
00077E7986	16835	9094	12064	16835	9079	11929	10153	69154	87	122	79	122	74	60	102	108	545	3903	509	187	3026	2557	3903	1253	11435	29	39	15	7	31	21	21	39	0.24587156	134	5387	544	1551	5387	2059	4339	2343	16223	30	50	3	6	28	18	50	28	0.244036697	133	10326	8041	10326	8422	4463	3687	6557	41496	28	109	61	109	15	21	31	41	0.510091743	278	56	S3
00077E798A	9847	7723	7742	9847	7060	9835	4068	46275	55	93	18	19	18	35	93	70	253	4841	2975	1716	3420	1830	4841	1325	16107	20	19	8	11	7	12	19	14	0.280632411	71	3557	459	252	3557	1540	1905	876	8589	16	20	7	3	6	3	9	20	0.18972332	48	5774	4289	5774	2870	3690	3089	1867	21579	19	65	3	5	5	20	65	36	0.529644269	134	70	S6
00077E79A4	9738	2688	2939	9738	4382	3472	5089	28308	85	205	51	40	67	205	59	89	511	2268	501	447	2268	1098	383	1467	6164	26	36	2	18	22	8	13	36	0.193737769	99	3217	323	1397	3217	1757	1970	1653	10317	29	152	17	3	30	152	30	17	0.487279843	249	4253	1864	1095	4253	1527	1119	1969	11827	30	45	32	19	15	45	16	36	0.318982387	163	66	S7
00077E79AD	12709	1713	6555	8246	6104	12709	9411	44738	51	105	13	14	28	29	49	105	238	3597		3193	1616	349	3597	1933	10688	13	25	6	7	13	2	10	25	0.264705882	63	4272	558	1024	4272	1028	3357	1383	11622	15	31	5	4	3	5	24	31	0.302521008	72	6095	1155	2338	2358	4727	5755	6095	22428	23	49	2	3	12	22	15	49	0.432773109	103	72	S4
00077E79AE																																																																									
00077E79B6	22765	1997	22765	2235	11866	13003	7790	59656	56	149	36	87	61	93	149	86	512	10755	1157	10755	1986	4343	4652	2396	25289	17	63	4	6	10	63	14	39	0.265625	136	1870	779	1870	194	785	1589	963	6180	13	48	1	1	48	4	8	26	0.171875	88	10140	61	10140	55	6738	6762	4431	28187	26	127	31	80	3	26	127	21	0.5625	288	71	S1
00077E79BA	16866	4645	7817	8124	6626	16866	4554	48632	99	262	34	206	262	135	124	234	995	4056	375	3156	1880	4056	3869	1373	14709	34	142	7	45	22	67	41	142	0.325628141	324	6085	51	881	750	396	6085	632	8795	29	49	4	22	11	12	49	26	0.124623116	124	6912	4219	3780	5494	2174	6912	2549	25128	36	229	23	139	229	56	34	66	0.549748744	547	56	S3
00077E79BF	11115	7478	10090	9536	9333	11115	8486	56038	83	232	34	118	46	113	131	232	674	3408	3168	1852	3408	940	1977	1407	14144	24	57	16	55	15	7	24	57	0.258160237	174	6418	2996	6418	646	4900	3755	1053	22251	26	119	4	17	5	81	6	119	0.007418398	232	6026	1314	1820	5482	2101	2900	6026	19643	33	101	14	46	26	25	101	56	0.397626113	268	81	S7
