rfid	rig_group	box	cue_age	inta_01_age	inta_15_age	pr_01_age	pr_02_age	sha_01_age	sha_10_age	shock_03_age	shock_base_age	labanimalid	sha_acquisition	sha_01_rewards	sha_01_locomotion	sha_01_inactive	sha_10_rewards	sha_10_locomotion	sha_10_inactive	sha_tot_rewards	sha_tot_locomotion	inta_01_rewards	inta_01_locomotion	inta_01_inactive	inta_15_rewards	inta_15_locomotion	inta_15_inactive	inta_tot_rewards	inta_tot_locomotion	inta_loco_difference	inta_esc_olivier_avg	inta_esc	inta_01_rewards_z	inta_13_15_rewards_z	inta_index_esc	inta_variability	inta_rewards_13_15	pr_01_breakpoint	pr_01_active	pr_01_inactive	pr_02_breakpoint	pr_02_active	pr_02_inactive	pr_breakpoint_difference	pr_active_difference	shock_base_active	cue_active	cue_inactive	cue_locomotion	life_tot_rewards	water_term_active	ld_hidetime_baseline	ld_hidetime_post	ld_hidetime_difference
AA1DCD668C	mork_2	10		112	132	111	133	97	110	139	137	P364	10	23	5461	26	31	6801	2	260	65367	87	6386	14	50	14226	13	1050	130684	7840	-71	-37	4.011742228	0.449912246	0.112148842	40.7512781	41	95	464	14	328	1901	43	233	1437	36	35	31	2117		44	486.2		
AA1DCD6689	mork_3	16		112	132	111	133	97	110	139	137	P365	0	2	2086	0	2	1718	5	11	16259	5	4138	8	11	6026	0	129	66613	1888	6	6	-0.83561794	-0.949222305	1.13595252	4.144072071	11.33333333	2	5	3	20	69	10	18	64	0	43	4	1369		2	383.83	457.07	73.24
AA1DCD666B	mork_1	16		112	132	111	133	97	110	139	137	P366	0	1	1439	3	0	618	4	3	9299	0	1521	2	0	1238	1	1	19436	-283	0	0	-1.131188682	-1.483723145	1.311649567	0.249443826	0	0	0	0	0	0	1	0	0						1	492.47		
AA1DCD6687	oscar_3	1		112	132	111	133	97	110	139	137	P368	0	7	2465	1	7	4253	4	41	31081	9	7245	7	43	9586	0	395	150292	2341	30.66666667	34	-0.599161346	0.402750408	-0.672190237	10.76826614	40	0	0	3	50	276	7	50	276	33	65	14	3114		34	497.27	615.23	117.96
AA1DCD6649	oscar_1	5		111	131	110	132	96	109	138	136	P371	7	6	1281	0	33	6754	1	234	50971	27	8548	1	46	13809	2	578	173831	5261	13	19	0.464893325	0.559956537	1.204483927	11.25383885	43.33333333	40	196	10	40	198	17	0	2	54	18	6	1985		34	481.17	3.53	-477.64
AA1DCD6631	oscar_3	8		111	131	110	132	96	109	138	136	P376	2	19	5372	4	1	1700	7	40	23027	4	4358	1	36	11858	1	364	101781	7500	22	32	-0.894732088	0.104058762	-0.116301587	9.525171331	33.66666667	0	0	7	50	276	1	50	276	20	38	14	2508		35	500.67	349.63	-151.04
AA1DCD667F	mork_1	12		111	131	110	132	96	109	138	136	P378	9	9	2361	0	30	3193	1	320	48739	28	11472	1	40	13284	0	546	204984	1812	7.333333333	12	0.524007473	0.371309182	0.708595203	3.179098405	39.33333333	50	242	14	118	690	16	68	448	28	78	10	3246		33	618.37	898.37	280
AA1DCD6680	mork_1	13		110	130	109	131	95	108	137	135	P383	9	9	2965	5	42	1911	134	364	30930	38	9973	67	56	11905	18	777	157223	1932	15.33333333	18	1.115148957	1.094457377	0.981445008	7.035149844	54.66666667	62	323	107	492	2749	207	430	2426	34	36	22	2183		23	408.03	573.33	165.3
AA1DCD664A	mork_3	2		109	129	108	130	94	107	136	134	P384	10	31	7617	2	30	4805	0	248	68129	23	9240	1	31	12984	4	471	206050	3744	2.666666667	8	0.228436731	-0.021706142	-0.095020366	3.401960219	31	77	428	3	95	554	36	18	126	19	116	17	2976		44	343.03	499.07	156.04
AA1DCD662D	oscar_1	8		109	129	108	130	94	107	136	134	P387	6	11	3730	9	47	2750	139	274	32486	35	8477	38	29	12467	1	469	167199	3990	-4.666666667	-6	0.937806512	-0.100309206	-0.106961516	3.923717059	29.33333333	62	347	137	95	544	6	33	197	35	117	2	4133		52	577.03	545.63	-31.4
AA1DCD6663	oscar_2	3		109	129	108	130	94	107	136	134	P390	10	35	5969	5	49	1692	3	369	36502	18	3961	0	39	6380	54	536	90104	2419	13.33333333	21	-0.067134011	0.30842673	-4.594194888	9.334285666	38	77	401	6	95	557	57	18	156	16	70	12	1934		18	611.23	537.97	-73.26
AA1DCD665E	mork_3	14		108	128	107	129	93	106	135	133	P391	10	28	7716	0	45	4800	0	406	50623	46	9899	0	51	11372	0	740	185835	1473	-3	5	1.588062144	0.685721441	0.431797611	9.651712571	46	20	82	0	20	76	2	0	-6	31	70	24	4014		42	489.23	506.93	17.7
AA1DCD6640	oscar_2	5		108	128	107	129	93	106	135	133	P392	6	6	3825	9	21	8958	5	146	70215	11	7905	4	32	11498	0	397	166345	3593	16	21	-0.48093305	0.04117631	-0.085617551	11.91562933	32.33333333	20	82	20	62	338	27	42	256	21	72	16	4062		53	656.27	620.87	-35.4
AA1DCD6633	mork_3	15		108	128	107	129	93	106	135	133	P395	1	4	2089	8	47	11771	58	64	30034	46	14005	40	61	18638	20	647	271818	4633	10.66666667	15	1.588062144	1.078736764	0.679278684	7.990549974	54.33333333	25	112	32	77	407	37	52	295	43	74	14	3435		4	469.1	794.43	325.33
AA1DCD668A	oscar_2	6		108	128	107	129	93	106	135	133	P396	9	17	5145	11	36	6286	3	264	59514	17	6765	5	32	9595	3	404	118201	2830	4.666666667	15	-0.126248159	0.009735084	-0.077110702	8.872930119	31.66666667	145	844	30	118	665	54	-27	-179	20	78	5	2692		50	441.6	389.27	-52.33
AA1DCD6694	mork_3	13		108	128	107	129	93	106	135	133	P397	10	11	10430	4	39	4888	3	248	78682	28	14767	5	36	14652	13	595	218998	-115	2.666666667	8	0.524007473	0.261264891	0.49859001	5.424225495	37	62	319	36	145	814	144	83	495	26	145	26	4622		45	476.03	452.8	-23.23
AA1DCD66D8	oscar_2	4		108	128	107	129	93	106	135	133	P399	8	6	3328	15	43	8104	0	342	71767	29	17801	0	53	21189	0	648	282795	3388	13.33333333	24	0.583121621	0.670000828	1.148989856	7.277362159	45.66666667	62	319	16	118	703	36	56	384	26	77	19	3492		3	354.47	623.6	269.13
AA1DCD6693	mork_1	6		108	128	107	129	93	106	135	133	P400	10	110	2758	83	37	3622	1	585	22573	36	14999	7	37	16336	3	646	233262	1337	-2	1	0.99692066	0.355588569	0.356686929	5.638754788	39	95	511	37	219	1273	170	124	762	28	108	45	2200		31	471.73	375.5	-96.23
AA1DCD6690	mork_1	14		108	128	107	129	93	106	135	133	P401	1	3	1176	0	3	1380	4	31	13058	2	2455	0	3	2399	3	48	29268	-56	1	1	-1.012960385	-1.326517016	1.30954481	1.423610434	3.333333333	1	2	2	0	0	4	-1	-2						25	608.83		
AA1DCD66CB	mork_2	3		108	128	107	129	93	106	135	133	P402	10	137	6593	33	60	7208	5	693	70031	46	15264	1	69	20258	0	925	281222	4994	16.33333333	23	1.588062144	1.628958217	1.025752187	8.055363982	66	219	1245	4	268	1584	36	49	339	39	138	23	3035		26	433.07	68.67	-364.4
AA1DCD6698	mork_1	8		108	128	107	129	93	106	135	133	P403	8	13	5452	1	46	8729	0	308	68466	33	12345	1	52	13792	5	643	197461	1447	18.66666667	19	0.819578215	0.937251248	1.143577551	7.455348565	51.33333333	25	114	14	145	847	64	120	733						42	662.27		
AA1DCD6696	mork_1	9		108	128	107	129	93	106	135	133	P406	10	33	7062	1	41	4403	0	499	39388	40	17064	0	54	18157	4	768	261225	1093	11.66666667	14	1.233377254	1.157339829	0.938350229	5.647418289	56	77	423	1	178	1017	32	101	594	34	85	8	4384		32	186.33	428.23	241.9
AA1DCD66A3	mork_2	2		108	128	107	129	93	106	135	133	P407	0	0	1105	0	0	606	0	4	7450	1	1376	0	0	1103	1	3	17757	-273	-0.666666667	-1	-1.072074534	-1.483723145	1.383973874	0.4	0	1	2	0	0	0	0	-1	-2	0	1	1	1300		0	661.53	812.73	151.2
AA1DCD66BC	mork_1	7		108	128	107	129	93	106	135	133	P408	0	0	842	3	0	527	3	1	9291	0	1123	2	0	905	0	1	28220	-218	0	0	-1.131188682	-1.483723145	1.311649567	0.249443826	0	0	0	0	0	0	2	0	0	0	0	1	1252		3	546.03	576.47	30.44
AA1DCD66AF	mork_1	11		108	128	107	129	93	106	135	133	P409	10	13	5563	3	27	1853	0	256	50595	7	3807	1	32	13709	0	420	168574	9902	14	25	-0.717389643	-0.005985529	0.008343484	6.633249581	31.33333333	40	192	0	219	1234	42	179	1042	24	79	11	2604		42	720.47	439.5	-280.97
AA1DCD66AD	oscar_1	8		108	128	107	129	93	106	135	133	P410	9	131	4879	30	41	2682	0	490	60450	39	10672	0	3	2957	1	894	171907	-7715	-24	-36	1.174263105	-0.304677175	-0.259462444	25.96099639	25	62	339	0	145	853	27	83	514	55	132	13	3162		47	510.03	19.37	-490.66
AA1DCD66BE	mork_1	3		108	128	107	129	93	106	135	133	P411	0	7	1639	0	2	943	2	26	9372	1	1928	1	24	10287	9	302	142179	8359	21	23	-1.072074534	-0.320397788	0.298857754	10.30124049	24.66666667	1	1	3	20	93	9	19	92	25	89	8	2573		26	458.97	464.4	5.43
AA1DCD669A	mork_1	15		108	128	107	129	93	106	135	133	P412	4	5	1005	1	17	3067	1	120	26709	1	1638	0	35	9562	0	383	119669	7924	20.66666667	34	-1.072074534	0.088338149	-0.082399261	9.236642006	33.33333333	32	161	3	118	660	47	86	499	23	135	31	2654		34	589.47	549.3	-40.17
AA1DCD6695	mork_1	4		108	128	107	129	93	106	135	133	P414	10	46	2567	54	46	6360	0	421	55332	33	8141	2	34	8776	9	635	170996	635	-4.333333333	1	0.819578215	0.229823665	0.280417001	5.002221729	36.33333333	77	393	33	178	1035	107	101	642	28	80	29	1400		4	891	447.63	-443.37
AA1DCD66D3	mork_2	1		108	128	107	129	93	106	135	133	P415	5	7	1320	3	21	3605	5	153	31640	5	2810	3	85	21163	76	473	128054	18353	54.33333333	80	-0.83561794	1.849046798	-2.212789733	24.02184191	70.66666667	12	46	10	1	1	0	-11	-45	10	37	30	2715		42	440.8	797.67	356.87
AA1DCD66B9	oscar_2	1		108	128	107	129	93	106	135	133	P416	1	2	1474	7	0	803	1	31	14918	16	7659	6	33	14702	0	414	175953	7043	14	17	-0.185362308	0.072617536	-0.39175999	6.031030868	33	0	0	1	50	276	28	50	276	24	49	10	2304		1	430.83	465.37	34.54
AA1DCD669D	oscar_2	8		108	128	107	129	93	106	135	133	P418	9	59	9793	10	48	1847	2	506	38938	40	15707	1	62	17585	1	744	190796	1878	19.66666667	22	1.233377254	1.235942893	1.002080174	7.534808115	57.66666667	95	509	4	77	442	23	-18	-67	47	74	25	3869		29	603.3	470.57	-132.73
AA1DCD66AE	mork_3	10		108	128	107	129	93	106	135	133	P419	1	10	3327	7	0	484	2	29	10896	0	1746	0	0	319	0	9	17079	-1427	-0.333333333	0	-1.131188682	-1.468002532	1.297752139	0.879393731	0.333333333	1	1	2	1	1	0	0	0	0					25	526.43		
