rfid	colorado_rat_number	femur_length_mm	maximum_force_n	yield_force_n	final_force_n	maximum_moment_nmm	yield_moment_nmm	final_moment_nmm	stiffness_n_mm2	x18_norm_stiffness_n_mm2	elastic_work_nmm	elastic_displacement_mm	post_yield_work_nmm	post_yield_displacement_mm	total_work_nmm	total_displacement_mm	iml_mm4	zml_mm3	cortical_thickness_mm	tissue_strength_m_pa	tissue_modulus_g_pa	correction_factor	corrected_modulus_g_pa	tt_ar_mm2	m_ar_mm2	ct_ms_mm2	ct_ar_mm2	ct_ar_tt_ar_percent	ps_pm_mm	ec_pm_mm	ps_pmest_mm	ec_pmest_mm	po_ar_mm2	ct_po_percent	ct_th_mm	j_mm4	imax_mm4	imin_mm4	zmax_mm3	zmin_mm3	dmax_mm	dmin_mm	ct_app_d_mg_ha_cm3	ct_tiss_d_mg_ha_cm3	ct_th_sd_mm	bv_tv_percent	tb_th_μm	tb_n_1_mm	tb_sp_μm	conn_d_number_mm3	app_d_mg_ha_cm3	tiss_d_mg_ha_cm3	tv_mm3	bv_mm3	smi	bs_mm2	bs_bv_mm2_mm3	bs_tv_mm2_mm3	bs_mv_mm2_mm3	da	tb_th_sd_μm	center	batchnumber	age
00078A23A3	2128	30.49	69.83	69.7	66.9	279.32	278.8	267.6	126.0513739	88.52990866	24.304945	0.709	22.68638	0.331	46.991325	1.04	2.35889	1.74549	0.573	160.0238328	6.492562995	0.336744128	19.28040448	7.00707	4.12541	2.88166	2.88151	0.411228944	9.300957592	7.049931601	9.383679371	7.200099374	0.00015	5.21E-05	351	4.98355	3.04747	1.93608	1.77041	1.48576	3.442671472	2.606181348	1189.39134	1210.805075	0.0461	0.0345	61.2	1.4827	697.1	7.2157	141.3394	819.969	11.9878	0.4136	3.1969	16.4431	46.8962	1.371652847	1.420668383	1.7595	27.4	TN	Batch03	64
00077E9C66	2129	33.83	107.65	95.71	107.65	484.425	430.695	484.425	233.4380764	233.4380764	25.42253	0.589	22.750185	0.221	48.172715	0.81	3.50144	2.54745	0.606	190.160749	8.100303385	0.332819838	24.33840316	6.95271	2.61423	4.33848	4.33845	0.623994097	9.44458189	5.624690747	9.347209778	5.731612605	3.00E-05	6.91E-06	573	6.54046	4.18157	2.35889	2.26522	1.74549	3.691976938	2.70283989	1303.011421	1318.884539	0.0703	0.2281	84	3.6887	270.6	69.345	360.994255	931.715222	11.861	2.7057	1.6333	78.7274	29.8108	6.637501054	8.599106528	1.4863	25.2	NY	Batch04	184
00077E7CA2	2130	38.31	74.64	43.98	73.68	373.2	219.9	368.4	144.5939361	198.3455914	7.94041	0.36	31.711285	0.49	39.651695	0.85	1.82738	1.48269	0.463	251.7046719	9.613853297	0.361678984	26.58117761	8.58983	3.4081	5.18173	5.18169	0.603235454	10.52325581	6.510541187	10.38956146	6.544268308	4.00E-05	7.72E-06	606	9.81157	6.31013	3.50144	3.1572	2.54745	3.997295072	2.748976427	1327.757013	1343.180893	0.0664	0.0629	73	1.3055	794.8	12.4828	167.1475402	967.279992	14.0193	0.882	2.609	29.5658	36.4787	2.108935539	2.250523319	1.4645	21.3	NY	Batch05	194
00077E9B2B	2131	40.31	150.26	143.38	150.26	751.3	716.9	751.3	306.9519905	421.0589718	41.600725	0.599	36.5578	0.251	78.158525	0.85	4.79154	3.13023	0.677	240.014312	7.783440573	0.273186258	28.49133276	9.96386	6.49744	3.46642	3.46571	0.347828051	9.025502114	5.866146934	11.18970766	9.035996851	0.00071	0.000204822	463	5.0469	3.21952	1.82738	1.82685	1.48269	3.524668145	2.464952215	1261.831161	1281.784869	0.063	0.1026	77	1.5965	646.9	27.3297	226.6342976	966.156894	13.3737	1.3727	2.316	44.6475	34.5278	3.338455326	3.720314974	1.6382	22.6	NY	Batch06	195
00078A096C	2132	31.32	75.59	71.08	73.35	340.155	319.86	330.075	177.5316665	177.5316665	17.92462	0.531	26.018815	0.35	43.943435	0.881	2.21714	1.58019	0.319	215.2620887	9.728793618	0.176650709	55.07361771	6.36759	0.16072	6.20687	6.20681	0.974750259	11.35315909	6.892364684	8.945249905	1.421149916	6.00E-05	9.67E-06	677	13.45621	8.66467	4.79154	4.05929	3.13023	4.269056904	3.061461937	1309.787445	1323.788734	0.0522	0.0952	63.5	2.9576	340.7	30.6858	232.1374778	917.86368	8.4241	0.8016	2.7897	31.4989	43.7002	3.739141273	4.13235815	1.6879	18.8	TN	Batch04	87
00078A17E0	2133	29.84	68.39	60.7	42.27	273.56	242.8	169.08	161.7641177	113.6121101	13.19701	0.409	44.993695	0.801	58.190705	1.21	2.11352	1.6205	0.35	168.812095	9.299339635	0.247359732	37.59439567	7.67165	4.86381	2.80784	2.80746	0.365952566	9.768142337	7.782992435	9.818594458	7.817956194	0.00038	0.000135335	319	5.44591	3.22877	2.21714	1.7624	1.58019	3.664060372	2.806168878	1216.794931	1239.219454	0.0357	0.1488	70.8	3.4808	295.6	57.2462	304.090623	890.534962	11.2671	1.6763	2.4561	61.8934	39.5118	5.493285761	6.453413688	1.8465	29.8	TN	Batch04	70
00078A197F	2134	29.96	207.59	184.61	207.59	830.36	738.44	830.36	451.8837788	317.3724207	45.782	0.5	35.35433	0.18	81.13633	0.68	1.96438	1.44554	0.536	574.4289331	27.94972415	0.321123607	87.03727631	7.48784	4.47616	3.01168	3.01044	0.402043847	9.70650042	7.410339031	9.700256313	7.499939032	0.00124	0.00041173	350	5.64462	3.5311	2.11352	1.94038	1.6205	3.639596368	2.608478865	1213.61282	1236.336836	0.0348	0.1145	72.9	2.5141	406.2	26.7779	247.8234132	917.489314	11.4647	1.3125	2.5624	45.6995	37.3245	3.986105175	4.501438112	1.9555	24.2	TN	Batch04	64
00077E9A25	2135	37.62	158.78	144.15	158.78	714.51	648.675	714.51	370.9007531	370.9007531	37.68319	0.62	38.021235	0.25	75.704425	0.87	4.26074	2.87706	0.663	248.3472712	10.57667013	0.292763076	36.12706315	9.15377	5.36121	3.79256	3.79255	0.414315632	8.805047006	5.274616526	10.72518841	8.207980982	1.00E-05	2.64E-06	536	5.00703	3.04265	1.96438	1.90855	1.44554	3.188441487	2.717849385	1324.013353	1340.036218	0.0594	0.0482	85	1.0344	1026.2	5.6573	149.4400284	982.254632	11.8431	0.5712	2.5814	16.4253	31.0153	1.386908833	1.457190003	1.5223	26.7	NY	Batch04	187
00077E9BC4	2137	33.73	94.86	89.67	82.61	474.3	448.35	413.05	237.3595402	325.596077	22.46937	0.599	17.708875	0.192	40.178245	0.791	3.44572	2.25026	0.56	210.7756437	8.369566921	0.269369078	31.07100115	6.19263	0.46314	5.72949	5.72942	0.925199794	10.73920266	6.445736434	8.821501213	2.412465313	7.00E-05	1.22E-05	663	11.18494	6.9242	4.26074	3.49007	2.87706	3.967943336	2.961870799	1315.028569	1329.591407	0.0512	0.2714	86.2	4.2472	223.9	74.1848	393.6015336	965.782528	8.6945	2.3597	1.2193	65.5285	28.2225	7.536776123	10.34420976	1.4748	27.1	NY	Batch06	193
00077E9BF1	2138	38.88	136.78	132.25	135.35	615.51	595.125	609.075	319.2595813	319.2595813	34.681395	0.559	56.88836	0.42	91.569755	0.979	3.41419	2.32215	0.638	265.0603966	11.36141783	0.290884965	39.05811294	9.33624	3.66154	5.6747	5.67458	0.607801428	10.96863665	6.739385534	10.83155815	6.78323438	0.00012	2.11E-05	638	11.70077	7.47854	4.22223	3.51336	2.86645	4.257201084	2.945964521	1320.19482	1335.05715	0.0767	0.0657	80.2	1.5768	857.7	10.4706	157.7883902	975.89041	17.5252	1.1517	2.5026	36.4036	33.4902	2.077214525	2.223324274	1.4917	24.4	NY	Batch06	189
00077E9B6D	2139	35.07	119.56	105.8	119.56	597.8	529	597.8	312.0893286	428.1060749	22.02559	0.429	27.112175	0.24	49.137765	0.669	4.22223	2.86645	0.551	208.5506463	8.98076453	0.358178221	25.0734523	7.82966	3.17149	4.65817	4.65669	0.594749964	10.01898434	6.242287613	9.919193987	6.31301186	0.00148	0.000317721	568	7.89867	4.45295	3.44572	2.39794	2.25026	3.713979499	3.062508332	1312.670064	1331.31349	0.0707	0.4025	103	5.0212	169.8	99.2905	497.9747744	973.644214	9.0341	3.6363	0.3635	82.4227	22.7315	9.123509813	15.26968395	1.5665	32.2	NY	Batch05	189
00077E9B75	2140	40.62	205.33	156.23	183.75	923.985	703.035	826.875	487.3995364	487.3995364	31.202115	0.4	199.56322	1.061	230.765335	1.461	2.44284	1.87937	0.741	491.6461367	24.2418839	0.258100819	93.92408752	11.88041	4.47197	7.40844	7.40825	0.623568547	12.34037128	7.569359445	12.21857746	7.496427976	0.00019	2.56E-05	741	19.14062	12.4537	6.68692	5.20662	4.18846	4.783794477	3.193020824	1315.402935	1327.68214	0.1122	0.2338	100.9	2.1938	481.7	42.1159	339.4307734	977.387874	17.5587	4.1057	1.1454	97.4838	24.0371	5.551880264	7.246249907	1.6852	29.8	NY	Batch06	198
00077E9A73	2141	34.85	129.69	107.33	81.57	583.605	482.985	367.065	337.846327	337.846327	21.993505	0.429	63.53754	0.54	85.531045	0.969	6.68692	4.18846	0.578	139.3364148	6.138600242	0.229125324	26.79145258	8.3315	3.58283	4.74867	4.74861	0.569958591	10.25833134	6.603332534	10.23214136	6.709930672	6.00E-05	1.26E-05	560	8.76763	5.35344	3.41419	2.75779	2.32215	3.882413092	2.94054217	1324.537466	1342.095231	0.0581	0.3864	101.7	4.9593	187.5	97.5769	473.2666184	935.833248	12.713	4.9123	0.2738	112.1775	22.8295	8.823841737	14.38044022	1.5626	32.2	NY	Batch05	185
00077E98E4	2142	33.75	112	109.84	112	504	494.28	504	287.7478268	287.7478268	27.118945	0.53	4.445485	0.04	31.56443	0.57	3.83891	2.44491	0.608	206.1425574	9.107106173	0.195596071	46.56078274	6.78852	2.66826	4.12026	4.12021	0.606937889	9.162543295	5.69891143	9.236182017	5.790539185	5.00E-05	1.21E-05	551	5.91565	3.4728	2.44284	2.13044	1.87937	3.260171608	2.599637112	1321.991777	1339.362359	0.0479	0.2896	93.3	4.2085	224.5	69.4279	399.5165164	976.639142	10.4641	3.0304	1.0326	78.2905	26.1212	7.48181879	10.53183475	1.5192	30.7	NY	Batch06	193
00077E7A45	2143	35.41	130.64	87.93	103.52	653.2	439.65	517.6	338.4979794	464.3319333	14.129175	0.34	83.98132	0.73	98.110495	1.07	7.11683	4.24261	0.561	153.9618301	5.778907814	0.200384873	28.83904229	8.54662	3.5936	4.95302	4.95239	0.579455972	10.45630726	6.587385483	10.36339686	6.720008143	0.00063	0.000127195	578	9.35084	5.51193	3.83891	2.7748	2.44491	3.972848494	3.140328274	1305.931476	1324.088227	0.0668	0.4844	121.6	5.1209	160.9	88.3335	558.8452	970.2274	10.766	5.2154	-0.4503	98.3764	18.801	9.137692736	17.72356142	1.5083	45.2	NY	Batch06	198
00077E9A48	2144	39.77	171.76	148.14	138.41	858.8	740.7	692.05	412.9643241	566.4805544	33.644545	0.489	157.204235	0.981	190.84878	1.47	5.04316	3.10104	0.656	276.9393494	9.949151997	0.26279842	37.85849243	12.50041	5.96043	6.53998	6.53996	0.52317964	12.63880159	8.769117955	12.53334691	8.654534788	2.00E-05	3.06E-06	608	18.90091	11.78407	7.11683	4.95549	4.24261	4.755965606	3.354930102	1279.388926	1293.203032	0.0617	0.2541	98.9	3.2034	312.8	47.14	362.9409582	977.013508	20.9164	5.314	1.1101	132.1253	25.0115	6.316827944	8.468267702	1.9619	33.1	NY	Batch05	192
00077E998F	2145	38.36	137.87	110.36	111.6	620.415	496.62	502.2	326.754781	326.754781	23.119995	0.43	96.780485	0.76	119.90048	1.19	3.91994	2.53757	0.677	244.4917776	10.12788611	0.247531551	40.91553612	10.04674	4.67205	5.37469	5.37443	0.534942678	11.39319552	7.692721792	11.23614962	7.662291552	0.00026	4.84E-05	561	12.37415	7.33099	5.04316	3.4074	3.10104	4.302981746	3.252560431	1276.693491	1292.940975	0.0933	0.1686	86.7	1.8335	632.9	44.3098	257.8938586	978.885338	17.8741	3.0133	1.5512	85.334	28.9578	4.774170448	5.742221146	1.7229	25.3	NY	Batch06	182
