rfid	colorado_rat_number	femur_length_mm	maximum_force_n	yield_force_n	final_force_n	maximum_moment_nmm	yield_moment_nmm	final_moment_nmm	stiffness_n_mm2	x18_norm_stiffness_n_mm2	elastic_work_nmm	elastic_displacement_mm	post_yield_work_nmm	post_yield_displacement_mm	total_work_nmm	total_displacement_mm	iml_mm4	zml_mm3	cortical_thickness_mm	tissue_strength_m_pa	tissue_modulus_g_pa	correction_factor	corrected_modulus_g_pa	tt_ar_mm2	m_ar_mm2	ct_ms_mm2	ct_ar_mm2	ct_ar_tt_ar_percent	ps_pm_mm	ec_pm_mm	ps_pmest_mm	ec_pmest_mm	po_ar_mm2	ct_po_percent	ct_th_mm	j_mm4	imax_mm4	imin_mm4	zmax_mm3	zmin_mm3	dmax_mm	dmin_mm	ct_app_d_mg_ha_cm3	ct_tiss_d_mg_ha_cm3	ct_th_sd_mm	bv_tv_percent	tb_th_μm	tb_n_1_mm	tb_sp_μm	conn_d_number_mm3	app_d_mg_ha_cm3	tiss_d_mg_ha_cm3	tv_mm3	bv_mm3	smi	bs_mm2	bs_bv_mm2_mm3	bs_tv_mm2_mm3	bs_mv_mm2_mm3	da	tb_th_sd_μm	center	batchnumber	age
00077EAAC5	243	36.08	134.3	108.09	134.3	604.35	486.405	604.35	328.7806882	328.7806882	68.86817	0.461	48.26847	0.389	117.13664	0.85	3.50731	2.35208	0.627	256.9427911	11.38959876	0.715627426	15.91554257	8.08056	3.03063	5.04993	5.04934	0.624875009	10.04864737	5.965234931	10.07687014	6.171225144	0.00059	0.000116833	627	8.60315	5.09584	3.50731	2.74762	2.35208	3.709275664	2.982305024	1334.832531	1350.218973	0.0655	0.367	121.1	4.6484	159.6	79.0792	461.8110188	951.3320004	12.3863	4.5453	0.5971	105.187	23.1836	8.492205098	13.41499809	1.641	49.5	NY	Batch02	208
00077EABD0	244	36.21	140.52	114.38	140.24	632.34	514.71	631.08	381.3167222	381.3167222	20.948625	0.38	65.153695	0.49	86.10232	0.87	3.71049	2.48191	0.622	254.7795851	12.48621658	0.277232118	45.03885284	8.2288	3.16607	5.06273	5.06266	0.61523673	10.11153299	6.086260085	10.16888148	6.30761516	7.00E-05	1.38E-05	622	8.81011	5.09961	3.71049	2.78524	2.48191	3.66188192	2.990027841	1353.139028	1368.600344	0.0491	0.3339	83.1	4.4315	686.7	86.4381	433.8458786	938.828176	13.7787	4.6013	0.6227	113.8382	24.8253	8.261896986	12.40418855	1.4906	23.5	NY	Batch02	217
00077EAC34	245	40.21	203.32	202.33	202.95	1016.6	1011.65	1014.75	326.0329185	447.2330844	76.759845	0.72	18.27318	0.09	95.033025	0.81	6.36462	4.00565	0.759	253.7915195	6.223937894	0.26473482	23.51008415	11.47812	4.09242	7.3857	7.38455	0.643358843	12.12980541	7.195657333	12.00992547	7.17125278	0.00115	0.000155706	759	18.19813	11.83351	6.36462	5.13736	4.00565	4.606844761	3.177821327	1324.911832	1338.314135	0.0864	0.2956	83.6	2.7759	671.7	52.9659	393.0399846	958.108025	17.1242	5.0615	0.7985	114.888	22.8078	6.709101739	9.524235868	1.9038	28.7	NY	Batch02	207
00077EA3AA	247	34.5	105.38	96.62	97.64	474.21	434.79	439.38	292.8930577	292.8930577	19.495255	0.401	44.172245	0.43	63.6675	0.831	4.34646	2.86393	0.606	165.5801643	8.187469001	0.263697402	31.04872837	8.96181	3.67682	5.28499	5.28498	0.589722389	10.56834362	6.776815377	10.61213578	6.797373228	1.00E-05	1.89E-06	606	10.21397	5.86751	4.34646	3.04609	2.86393	3.852486302	3.035311617	1334.3568	1350.0773	0.0524	0.462	121.1	5.4261	159.6	100.1828	530.6033	909.9047	13.4953	6.2353	-0.341	123.3345	19.6606	9.139070639	16.98822314	1.5187	49.5	NY	Batch02	221
00077EAB94	248	40.58	168.37	142.26	166.4	841.85	711.3	832	382.3749081	524.5197641	32.029765	0.449	88.03774	0.551	120.067505	1	5.81896	3.64215	0.633	231.140947	7.98399565	0.236017316	33.82800796	10.87765	4.69003	6.18762	6.18323	0.568434359	11.809909	7.647118301	11.69156026	7.677021243	0.00439	0.000709481	633	15.00675	9.18778	5.81896	4.25499	3.64215	4.318590643	3.19534341	1303.984772	1321.392791	0.0567	0.096	83.1	1.5272	686.7	19.3513	191.4438936	957.920842	19.5336	1.8754	2.2317	57.6669	32.0609	2.952190072	3.265729236	1.5443	23.5	NY	Batch02	218
00077EAE8C	249	37.64	129.77	126.19	129.77	583.965	567.855	583.965	328.7008873	328.7008873	30.557705	0.509	41.65511	0.33	72.212815	0.839	3.16158	2.36732	0.643	246.6776777	12.63202507	0.36487722	34.61993339	8.24012	2.90721	5.33291	5.33285	0.647181109	10.42327755	6.085090198	10.17587352	6.044259948	6.00E-05	1.13E-05	643	9.46146	6.29988	3.16158	3.09783	2.36732	4.06728581	2.671020394	1325.585691	1340.67264	0.0663	0.0934	83.6	1.5245	671.7	18.7729	203.3487324	942.571836	12.6246	1.1788	2.4914	36.8878	33.1301	2.921898516	3.222824093	1.4152	28.7	NY	Batch02	209
00077EA12E	250	37.69	157.39	144.2	157.39	708.255	648.9	708.255	380.1816248	380.1816248	33.34627	0.47	35.11658	0.23	68.46285	0.7	4.47508	2.93734	0.655	241.1212185	10.32206517	0.271722907	37.98746781	9.44615	3.65539	5.79076	5.79045	0.612995771	10.94010531	6.646007021	10.89512835	6.777535354	0.00031	5.35E-05	655	11.85945	7.38438	4.47508	3.58414	2.93734	4.120586807	3.047028945	1310.985417	1325.660564	0.064	0.0562	74.4	1.6203	679.9	9.3288	139.42	951.582	15.7041	0.882	2.5925	30.1104	36.5673	1.917359161	2.031453033	1.5516	23	NY	Batch02	206
00077EA3B2	251	35.69	167.88	136.31	139.17	755.46	613.395	626.265	447.7999339	447.7999339	26.376295	0.42	81.47821	0.52	107.854505	0.94	2.61857	1.94785	0.581	387.8430064	20.77763511	0.342846867	60.60325202	6.93851	2.59655	4.34196	4.34196	0.625777004	9.328804974	5.534768593	9.337659673	5.712198318	0	0	581	6.31224	3.69367	2.61857	2.18137	1.94785	3.386559822	2.68867726	1346.437877	1363.733586	0.054	0.3844	102.9	4.9049	185.8	90.7819	478.7697986	947.81296	9.655	3.7116	0.4744	84.8083	22.9206	8.783873641	14.26932396	1.4907	33.1	NY	Batch02	207
00077E6593	252	34.35	131.96	117.36	131.72	593.82	528.12	592.74	312.7496077	312.7496077	28.215175	0.54	45.052135	0.36	73.26731	0.9	3.26552	2.26433	0.644	262.2497604	11.63645525	0.307125886	37.88822691	8.06317	2.88223	5.18094	5.18087	0.642535132	10.12467034	5.884679933	10.06602119	6.018236484	7.00E-05	1.35E-05	644	8.85707	5.59155	3.26552	2.98385	2.26433	3.747876066	2.884314565	1322.328706	1338.351571	0.0835	0.4303	102.9	4.1409	185.8	57.5347	508.4195858	961.7393752	10.5502	4.54	-0.2753	78.9869	17.3807	7.486768023	13.14214169	1.5664	33.1	NY	Batch02	206
00077EA986	253	34.45	123.21	121.98	122.8	554.445	548.91	552.6	251.8902775	251.8902775	40.76563	0.729	76.45212	1.134	117.21775	1.863	2.6117	2.01375	0.698	275.3296089	11.71829411	0.39441718	29.71040491	7.14875	2.04236	5.10639	5.10637	0.7143025	9.632582115	4.916686646	9.478071636	5.066068761	2.00E-05	3.92E-06	698	7.30987	4.69817	2.6117	2.57385	2.01375	3.650694485	2.593867163	1353.176465	1367.589556	0.0798	0.4007	89	5.4536	348.8	120.6418	498.3491404	931.715222	7.6715	3.0741	0.673	75.4497	24.7047	9.83506485	16.4113847	1.516	27	NY	Batch02	211
00077EA0EC	254	37.84	158.74	131.99	158.71	714.33	593.955	714.195	375.6611121	375.6611121	30.259915	0.481	61.45543	0.419	91.715345	0.9	4.88258	3.14299	0.605	227.2772106	9.348095704	0.24620859	37.96819479	10.26839	4.43447	5.83392	5.83388	0.568139699	11.58280809	7.603781787	11.35941875	7.46493091	4.00E-05	6.86E-06	605	13.50331	8.62073	4.88258	3.96571	3.14299	4.347635102	3.106965024	1317.5397	1333.4429	0.0414	0.1999	89	2.9148	348.8	50.3421	322.0331	948.109	17.4208	3.4831	1.7365	99.1997	29.1054	5.694325175	7.117365132	1.622	27	NY	Batch02	219
00077E9F21	255	36.58	153.2	129.33	151.11	689.4	581.985	679.995	381.9554085	381.9554085	26.86706	0.419	74.846255	0.515	101.713315	0.934	4.58195	3.01365	0.603	228.7591459	10.12834757	0.261210704	38.77462683	9.62553	4.02087	5.60466	5.60461	0.58226508	11.14154741	7.354651163	10.99808971	7.108286897	5.00E-05	8.92E-06	603	11.8752	7.29326	4.58195	3.5765	3.01365	4.078434223	3.040797704	1343.1311	1358.3031	0.0528	0.3851	107.8	4.7636	195	77.6121	482.9849	965.6575	15.9382	6.1379	0.294	133.5994	21.7153	8.382339285	13.63217453	1.5827	35	NY	Batch02	209
00077E668D	257	35.24	112.28	105.23	105.29	505.26	473.535	473.805	262.6319921	262.6319921	27.95866	0.609	52.42588	0.48	80.38454	1.089	2.71514	1.92789	0.548	262.079268	11.75253837	0.297535419	39.49962799	7.37905	3.00997	4.36908	4.36906	0.592089768	9.777906977	6.076744186	9.629531509	6.150154352	2.00E-05	4.58E-06	548	7.0617	4.34655	2.71514	2.38625	1.92789	3.642996333	2.816695973	1359.61556	1378.857972	0.0635	0.2157	87.1	3.1318	328.1	56.5128	320.5252904	960.541404	13.1121	2.8287	1.3863	80.79	29.043	6.16148443	7.856351012	1.5798	25.5	NY	Batch02	219
00077E664E	259	39.41	163.68	147.46	163.68	818.4	737.3	818.4	326.5026031	447.8773705	45.55346	0.74	36.111685	0.23	81.665145	0.97	5.57247	3.47018	0.685	235.8379104	7.118937612	0.243666465	29.21591039	10.08095	3.78646	6.29449	6.29446	0.62439155	11.4477268	6.849989524	11.25526338	6.897975042	3.00E-05	4.77E-06	685	13.4228	7.85034	5.57247	3.83886	3.47018	4.089932949	3.211631673	1324.05079	1337.939769	0.0738	0.137	91	1.629	639.5	28.3223	241.4966278	971.023652	18.8721	2.585	1.9838	74.2735	29.6056	3.935624546	4.560265486	1.5064	28	NY	Batch02	206
00077EAAB8	260	39.49	217.24	217.24	217.24	1086.2	1086.2	1086.2	466.4383991	639.8331949	57.52051	0.558	0	0	57.52051	0.558	8.43396	4.6723	0.723	232.4765105	6.719532163	0.181465491	37.02925615	12.72238	5.14827	7.57411	7.5737	0.595305281	12.77304817	8.073089701	12.64413469	8.043324489	0.00041	5.41E-05	723	20.97852	12.54456	8.43396	5.22413	4.6723	4.802545113	3.610196263	1316.301414	1329.479097	0.0948	0.2949	112.2	2.0269	576.7	51.0301	382.1084974	967.3174286	22.3692	6.596	0.2683	138.2521	20.9198	6.180466892	8.765000127	1.7123	34.6	NY	Batch02	204
00077EA27D	261	36.2	116.33	100.48	113.84	523.485	452.16	512.28	302.0407404	302.0407404	20.518655	0.409	51.40722	0.503	71.925875	0.912	2.80149	2.03519	0.599	257.2167709	13.09943993	0.329907424	39.70641153	7.19948	2.58727	4.61221	4.61219	0.640628212	9.618673051	5.691404469	9.51164202	5.701981559	2.00E-05	4.34E-06	599	6.8969	4.09541	2.80149	2.32229	2.03519	3.527044426	2.753050084	1339.287486	1356.920125	0.0643	0.4524	107.8	5.5595	195	114.1607	524.592197	927.22283	7.6734	3.4715	-0.1211	74.7333	21.4816	9.739268121	17.78559699	1.4135	35	NY	Batch02	215
00077EAF04	262	35.7	133.44	106.19	124.69	600.48	477.855	561.105	322.1303783	322.1303783	22.91349	0.479	67.12168	0.531	90.03517	1.01	3.87044	2.49012	0.575	241.1450051	10.11224589	0.23503177	43.02501696	8.70796	3.65617	5.05179	5.0496	0.579883233	10.54570573	6.87485609	10.46075775	6.778258423	0.00219	0.00043351	575	9.71507	5.84463	3.87044	2.92108	2.49012	4.001691155	3.108637335	1338.201825	1356.021646	0.0707	0.763	87.1	5.2661	328.1	48.0534	747.125	935.5876	14.0469	10.7171	-5.802	92.9092	8.6201	6.614213812	27.90233648	1.7201	25.5	NY	Batch02	208
00077EA922	263	35.2	127.33	105.74	124.78	572.985	475.83	561.51	354.6239141	354.6239141	19.738855	0.389	59.384655	0.49	79.12351	0.879	3.54176	2.5136	0.597	227.9539306	12.16536568	0.31240964	38.94042984	8.55825	3.42495	5.1333	5.13307	0.599780329	10.54825581	6.554069767	10.37044557	6.560426132	0.00023	4.48E-05	597	9.63507	6.09331	3.54176	3.1029	2.5136	3.927493635	2.818077658	1343.4053	1360.7709	0.0566	0.3884	116.9	4.052	230.3	49.7206	475.0333	989.6951	11.3836	4.421	-0.0926	87.2575	19.6702	7.665193788	12.53231551	1.5731	37.8	NY	Batch02	207
00077EA41A	264	40	162.43	149.68	162.43	812.15	748.4	812.15	338.7604903	464.6920305	41.427345	0.579	187.13318	1.998	228.560525	2.577	4.93144	3.25772	0.699	249.300124	8.346324718	0.285418032	29.24245765	9.80251	3.51688	6.28563	6.28462	0.641123549	11.27345981	6.628416973	11.09873748	6.647888197	0.00101	0.000160684	699	13.01984	8.0884	4.93144	3.94239	3.25772	4.103297746	3.027540734	1342.507034	1358.492462	0.0541	0.0804	84.8	1.3279	777.7	11.6272	178.9775058	968.777456	15.954	1.2835	2.4042	39.608	32.492	2.482637583	2.699839815	1.3843	28.9	NY	Batch02	211
00077EABAD	265	38.78	149.75	144.77	149.75	748.75	723.85	748.75	319.8782709	438.790495	41.059435	0.58	33.44849	0.23	74.507925	0.81	4.28317	2.91141	0.707	257.1777936	9.073935872	0.307351839	29.52295944	9.24707	3.0675	6.17957	6.17934	0.668248429	11.14252187	6.244932793	10.77970819	6.208650567	0.00023	3.72E-05	707	11.97323	7.69006	4.28317	3.72548	2.91141	4.128359299	2.942333783	1342.581907	1356.508322	0.0849	0.1384	85.4	2.1677	470	31.0194	241.2720082	968.40309	14.362	1.9876	2.0705	59.3077	31.089	4.129487537	4.792773791	1.4762	26.8	NY	Batch02	210
00077EA9E3	267	33.5	92.94	92.94	92.68	418.23	418.23	417.06	209.5181818	209.5181818	28.71376	0.799	2.878035	0.031	31.591795	0.83	1.94509	1.56605	0.574	267.0604387	13.08754818	0.396635201	32.99643643	6.11863	2.13235	3.98628	3.98625	0.65149388	8.841493268	4.973072215	8.768635711	5.176475672	3.00E-05	7.53E-06	574	5.0756	3.13051	1.94509	1.89754	1.56605	3.299545728	2.48407139	1384.473462	1404.42717	0.0672	0.2165	86.9	3.8354	250.4	56.7951	343.773419	959.04394	9.1557	1.9819	1.9172	58.8472	30.5916	6.427384034	8.203072291	1.3176	28	NY	Batch02	205
00077E9EFE	662	38.8	141.98	124.08	141.98	638.91	558.36	638.91	337.5749305	337.5749305	28.4146371	0.459708	42.50591094	0.319985	70.92054804	0.779693	4.10621	2.74879	0.619	232.4331797	9.988615793	0.277106629	36.04610919	8.85528	3.54582	5.30946	5.30916	0.599547389	11.36022287	7.134811047	10.54887342	6.675184511	0.0003	5.65E-05	619	10.15553	6.04932	4.10621	3.10399	2.74879	3.897770289	2.987649111	1306.9797	1324.200536	0.0548	0.1337	91	1.9773	639.5	28.4424	238.6514462	948.936058	15.2941	2.0441	1.9295	60.9605	30.7933	3.985883445	4.600792453	1.5214	28	NY	Batch01	224
0007214EDC	663	34.44	126.8	118.81	126.8	570.6	534.645	570.6	312.622794	312.622794	28.43360723	0.498031	28.23648466	0.230898	56.67009189	0.728929	3.02037	2.21039	0.635	258.1444903	12.57583325	0.344823172	36.4703833	7.71947	2.74814	4.97133	4.97133	0.643998876	9.826792636	5.735222868	9.849148236	5.876576022	0	0	635	8.05826	5.03789	3.02037	2.71138	2.21039	3.716107665	2.732884242	1298.182099	1313.119303	0.0703	0.422	112.2	4.6562	576.7	85.3079	507.4462342	951.5940566	11.3237	4.7786	-0.0201	99.6531	20.8077	8.800400929	15.22560389	1.4465	34.6	NY	Batch00	219
00077E811F	664	40.05	140.78	140.78	140.78	633.51	633.51	633.51	252.3212345	252.3212345	51.25399408	0.719656	0	0	51.25399408	0.719656	5.85381	3.67329	0.644	172.463922	5.237107113	0.2405867	21.76806575	10.90331	4.64835	6.25496	6.25475	0.573656073	11.73025678	7.563590116	11.70534213	7.642832515	0.00021	3.36E-05	644	15.16003	9.30623	5.85381	4.19445	3.67329	4.437401805	3.187229976	1306.792517	1320.831242	0.0568	0.1746	116.9	2.8628	230.3	55.2862	298.5874428	933.587052	18.359	3.2049	1.9007	103.2385	33.2503	5.623318264	6.812578774	1.6132	37.8	NY	Batch01	229
000721B621	665	40.14	229	143.25	224.87	1030.5	644.625	1011.915	540.1176541	540.1176541	23.18029734	0.319743	116.896707	0.570539	140.0770044	0.890282	3.39874	2.20922	0.827	466.4542237	19.3084187	0.295546762	65.33117988	12.70051	4.86746	7.83305	7.83293	0.616741375	13.21175031	7.937576499	12.63326227	7.8208891	0.00012	1.53E-05	735	21.54503	13.10023	8.44481	5.46478	4.74661	4.794421733	3.55824894	1295.486664	1309.18846	0.0766	0.1994	84.8	2.3988	777.7	53.4911	314.9098004	943.694934	19.4051	3.8698	1.5201	112.5952	29.7079	5.802350928	7.247700398	1.8023	28.9	NY	Batch00	221
00077EA23A	666	34.72	117.58	110.62	117.58	529.11	497.79	529.11	289.9867554	289.9867554	25.48745677	0.448287	14.839364	0.130347	40.32682077	0.578634	2.98977	2.21528	0.624	238.8456538	11.78464925	0.351457315	33.53081226	7.67184	2.76256	4.90928	4.90842	0.639796972	9.839819649	5.793782629	9.818716043	5.891973592	0.00086	0.000175178	624	7.90879	4.91903	2.98977	2.65646	2.21528	3.703447445	2.69922538	1335.50639	1351.192325	0.0697	0.4691	85.4	5.2482	470	85.8686	538.9304148	949.2355508	12.7288	5.9714	-0.6524	116.3611	19.3359	9.14156087	17.21980347	1.5465	26.8	NY	Batch01	219
00077EAB4D	667	35.61	128.49	109.03	128.12	578.205	490.635	576.54	313.5976672	313.5976672	23.13373726	0.417016	44.72754908	0.362813	67.86128634	0.779829	3.63189	2.46389	0.569	234.6715965	10.49098859	0.271104166	38.69726069	8.44056	3.59565	4.84491	4.84483	0.573993906	10.24620313	6.70562411	10.29889339	6.721924613	8.00E-05	1.65E-05	569	8.97333	5.34145	3.63189	2.81209	2.46389	3.798918242	2.948094274	1335.918192	1353.475958	0.0481	0.5065	107	5.509	230.2	100.9647	567.0453014	956.1613218	13.0541	6.6122	-0.9569	125.3033	18.7829	9.598769735	19.45129543	1.5103	33.9	NY	Batch01	224
00077E9D34	668	35.95	127.62	107.11	127.62	574.29	481.995	574.29	327.037846	327.037846	20.80325545	0.397847	40.59109108	0.351024	61.39434653	0.748871	3.18445	2.15342	0.564	266.6874089	12.47785278	0.266668833	46.79156773	8.06783	3.3985	4.66933	4.66933	0.578759096	10.05050505	6.435283063	10.06892953	6.5350448	0	0	564	8.29044	5.10599	3.18445	2.74652	2.15342	3.718152426	2.957574463	1343.854751	1360.663785	0.0769	0.3847	86.9	4.7329	250.4	89.0779	477.3846444	940.32564	14.0439	5.4024	0.3403	118.3183	21.9009	8.424889098	13.69187062	1.5274	28	NY	Batch01	225
00077EA9E7	669	34.76	83.41	78.91	83.41	375.345	355.095	375.345	246.3507991	246.3507991	16.13591439	0.448726	7.07017818	0.089598	23.20609257	0.538324	2.06758	1.63788	0.512	229.1651403	14.47664521	0.367474984	39.39491347	6.44607	2.65778	3.78829	3.78828	0.587688312	9.066739341	5.671027132	9.00020581	5.779156382	1.00E-05	2.64E-06	512	5.33703	3.26944	2.06758	1.86194	1.63788	3.51186397	2.524702664	1335.918192	1354.973422	0.0699	0.1933	74.6	2.4285	641.1	47.6967	258.8297736	977.76224	11.9191	2.3039	1.37	62.1467	27.5413	5.214043007	6.463380897	1.5255	23.4	NY	Batch01	219
00077E9D71	670	40.31	173.4	173.21	157.08	780.3	779.445	706.86	283.818844	283.818844	69.12891243	0.829687	12.81475017	0.070918	81.9436626	0.900605	6.1253	3.51741	0.709	221.8393648	5.629763367	0.199309939	28.24627514	10.96127	4.17247	6.7888	6.78677	0.619159094	11.90225291	7.117853682	11.73641262	7.241049951	0.00203	0.000299022	709	16.13593	10.01063	6.1253	4.50321	3.51741	4.445997411	3.482846754	1337.191037	1352.203113	0.1195	0.2158	81.4	2.3163	254.3	52.4559	246.5505688	998.726736	16.4614	3.5522	1.3122	97.5219	27.8141	5.9242774	7.55444954	1.6446	28.8	NY	Batch01	235
00077EA694	672	35.63	131.74	119.72	131.74	592.83	538.74	592.83	329.7282284	329.7282284	27.25078178	0.468262	27.56077708	0.220568	54.81155886	0.68883	3.0973	2.30611	0.664	257.0692638	12.93448479	0.366089073	35.33152383	7.67708	2.52297	5.15411	5.15411	0.671363331	9.893023256	5.55	9.822068647	5.63068167	0	0	664	8.07752	4.98022	3.0973	2.77916	2.30611	3.583975014	2.686168483	1336.891544	1351.978494	0.0611	0.343	73.9	4.0903	663.4	64.0129	448.8205186	992.8117532	11.3883	3.9057	0.6137	87.2595	22.3985	7.662205948	11.66165504	1.5836	23.1	NY	Batch01	224
000721CA83	673	38.34	169.76	117.71	166.8	763.92	529.695	750.6	415.0402029	415.0402029	20.0300968	0.33042	116.2724803	0.740202	136.3025771	1.070622	5.33448	3.37129	0.68	226.5957541	9.453102206	0.252062325	37.50303505	10.10901	3.9316	6.17741	6.17735	0.611073686	11.2348595	6.815649225	11.27091683	7.028936101	6.00E-05	9.71E-06	680	13.45212	8.11763	5.33448	3.75828	3.37129	4.319864406	3.164652106	1339.998782	1354.673929	0.0747	0.1011	85.1	2.0185	262.6	31.2395	128.5878422	985.623926	16.7416	1.6931	2.3988	60.855	38.3994	3.634957232	4.043924644	1.5442	26.6	NY	Batch00	221
000721D981	678	35.47	123.93	108.94	123.91	557.685	490.23	557.595	321.1497219	321.1497219	22.75983643	0.428448	37.79663585	0.321081	60.55647228	0.749529	3.08284	2.23377	0.629	249.6608872	12.65706012	0.335701327	37.70333653	7.62341	2.6653	4.95811	4.95777	0.650334955	9.930115105	5.752290345	9.78767569	5.787326464	0.00034	6.86E-05	629	7.89316	4.81032	3.08284	2.54607	2.23377	3.778623526	2.760212555	1317.836314	1333.40994	0.0726	0.45	87.4	5.1224	239.2	88.2522	527.7368714	958.9690668	10.198	4.5887	-0.021	90.6901	19.7613	8.892929986	16.1678106	1.5107	30.9	NY	Batch00	217
00077E828F	679	37.81	187.8	139.03	187.02	845.1	625.635	841.59	467.2070097	467.2070097	24.37048108	0.367596	66.99223412	0.392489	91.36271519	0.760085	4.7316	3.10064	0.73	272.5566335	11.99713663	0.286409919	41.88799285	9.47929	3.18537	6.29392	6.29385	0.663957955	10.86069311	6.273369813	10.91422335	6.3268112	7.00E-05	1.11E-05	730	12.32675	7.59515	4.7316	3.72842	3.10064	4.074192285	3.052015068	1334.720221	1347.823031	0.0876	0.6409	75.6	5.6225	578.8	79.4567	660.0003792	964.5096836	10.2194	6.5494	-3.0385	91.4951	13.8363	8.953079437	24.93054496	1.5673	22.7	NY	Batch01	230
00077E9E7C	683	34.59	127.49	103.17	127.39	573.705	464.265	573.255	305.2999099	305.2999099	27.74651121	0.407771	32.51094428	0.280878	60.25745549	0.688649	3.24061	2.28084	0.572	251.5323302	11.44659155	0.300433465	38.10025474	7.8253	3.16532	4.65998	4.65997	0.595500492	9.946056102	6.253296572	9.916431816	6.306868021	1.00E-05	2.15E-06	572	7.84577	4.60516	3.24061	2.49588	2.28084	3.690209465	2.841593448	1359.652997	1378.10924	0.0546	0.3493	76.8	4.7355	355.1	85.101	450.8795316	973.644214	11.786	4.1169	0.7257	101.2939	24.6902	8.59442559	13.2080557	1.5529	26.1	NY	Batch01	229
00077EA302	684	35.79	93.35	86.2	93.35	420.075	387.9	420.075	251.8683386	251.8683386	17.72461816	0.417568	18.33621948	0.201953	36.06083764	0.619521	2.56499	1.92863	0.566	217.8100517	11.93065202	0.346684393	34.4135827	7.09807	2.72531	4.37276	4.37276	0.616049151	9.44886094	5.918367347	9.444415189	5.852115472	0	0	566	6.61005	4.04506	2.56499	2.33166	1.92863	3.469682544	2.659908847	1356.208829	1374.36558	0.0559	0.3654	72.4	4.9238	744.2	85.859	436.7284968	991.239416	11.5189	4.2094	0.5882	99.9462	23.8194	8.676713922	13.67346604	1.4998	23.3	NY	Batch01	229
000721668D	685	35.1	104.66	97.23	104.66	470.97	437.535	470.97	250.0571765	250.0571765	23.58455427	0.497868	15.30618331	0.151078	38.89073758	0.648946	2.22846	1.68566	0.588	279.3979806	13.63360659	0.356847058	38.20574192	6.51826	2.23577	4.28249	4.28249	0.656998954	9.227834302	5.242853682	9.05046247	5.300520204	0	0	588	5.84757	3.61911	2.22846	2.07996	1.68566	3.479980384	2.64402074	1412.812969	1431.905635	0.0697	0.2452	77.4	3.5111	545.9	52.1998	354.5925964	1025.306722	9.6552	2.367	1.1182	62.2261	26.686	6.444827658	8.537924316	1.513	26.7	NY	Batch00	218
7219260	686	36.77	163.75	153.77	160.79	736.875	691.965	723.555	416.5537412	416.5537412	34.89955569	0.466747	41.60734263	0.26223	76.50689832	0.728977	4.99228	3.17884	0.739	231.8062564	10.13790884	0.268623088	37.74027363	9.43415	3.15798	6.27617	6.27601	0.665243822	10.8269361	6.072476857	10.88820579	6.299551339	0.00016	2.55E-05	739	12.12002	7.12774	4.99228	3.54207	3.17884	4.024618373	3.140944495	1325.585691	1338.052078	0.0735	0.5652	90.3	5.5822	370.3	96.3564	607.6640124	950.5458318	11.9816	6.7717	-1.6943	113.4526	16.5917	9.468902317	21.77634887	1.6149	28	NY	Batch00	222
0007215F8A	687	39.65	181.58	129.52	176.34	817.11	582.84	793.53	456.4646192	456.4646192	23.23770565	0.364898	63.76522837	0.387332	87.00293402	0.75223	6.31716	3.87207	0.648	211.0266602	8.779332997	0.226361172	38.78462426	11.59138	5.01063	6.58075	6.5805	0.567706347	12.27211379	7.951619601	12.06903381	7.935076155	0.00025	3.80E-05	648	17.36227	11.04511	6.31716	4.63523	3.87207	4.765722521	3.262936879	1300.428295	1314.729077	0.0737	0.2433	102.4	3.4147	191.9	69.7574	358.8978054	963.536332	22.3776	5.4448	1.5531	152.243	28.4525	6.803365866	8.991011528	1.7223	41.9	NY	Batch00	220
00077EA209	688	36.32	127.27	109.72	126.16	572.715	493.74	567.72	347.2720726	347.2720726	20.69736411	0.379066	54.73727957	0.450632	75.43464368	0.829698	4.10151	2.71142	0.574	211.2232705	10.28732268	0.253914631	40.5148873	9.11779	3.96211	5.15568	5.15507	0.56538591	10.77481004	7.100506562	10.70408933	7.056156367	0.00061	0.000118316	574	10.40787	6.30637	4.10151	3.14534	2.71142	4.009976664	3.025359406	1307.990489	1324.574902	0.0552	0.4001	88.5	5.041	423.4	95.5836	480.5293188	959.418306	14.0558	5.6241	0.0834	125.3644	22.2279	8.91905121	14.86822349	1.4985	30.2	NY	Batch01	233
00072069AD	689	39.09	190.6	155.23	190.6	857.7	698.535	857.7	465.7939624	465.7939624	31.82522703	0.419289	53.58779364	0.299865	85.41302066	0.719154	6.41061	3.8892	0.742	220.5337859	8.828171801	0.237798654	37.12456591	10.98135	3.99621	6.98514	6.98484	0.636063872	11.76585624	6.955073996	11.7471577	7.086455808	0.0003	4.29E-05	742	16.20396	9.79335	6.41061	4.55592	3.8892	4.299175578	3.296621413	1315.140879	1327.869323	0.0555	0.2064	93	2.5655	443.7	44.212	308.9199444	1001.347298	20.1076	4.1501	1.7292	106.6894	26.234	5.305924128	6.685846781	1.5351	31.5	NY	Batch00	232
