rfid	sha_04_age	death_comment	add_ind_sexcohort	add_ind_no_sex	add_ind_no_sexcohort	sha_mean_01_02	sha_mean_03_04	sha_mean_inactive_01_02	sha_mean_inactive_03_04	sha_mean_to_01_02	sha_mean_to_03_04	sha_iti_coefficient_of_variation_03_04	sha_iti_coefficient_of_variation_01_02	sha_iti_median_03_04	sha_loading_phase_intake_01_02	sha_loading_phase_intake_03_04	sha_titration_phase_01_02	sha_titration_phase_03_04	lga_mean_delta_esc	lga_mean_01_02	lga_mean_inactive_01_02	lga_mean_active_01_02	lga_mean_to_01_02	lga_iti_coefficient_of_variation_01_02	lga_iti_median_01_02	lga_loading_phase_intake_01_02	lga_titration_phase_01_02	lga_mean_active_12_14	lga_iti_coefficient_of_variation_12_14	tail_immersion_analgesia	tail_immersion_tolerance	tail_immersion_baseline	tail_immersion_oxypresa	tail_immersion_oxypostsa	von_frey_force_bsl	von_frey_force_difference	von_frey_force_percent	von_frey_force_withdrawal	von_frey_time_bsl	von_frey_time_difference	von_frey_time_percent	von_frey_time_withdrawal	treatments_pr_vehicle	treatments_pr_buprenorphine	treatments_pr_methadone	treatments_pr_naltrexone	pr_saline_active	pr_saline_breakpoint	pr_saline_inactive	pr_saline_rewards	pr_buprenorphine_active	pr_buprenorphine_breakpoint	pr_buprenorphine_inactive	pr_buprenorphine_rewards	pr_methadone_active	pr_methadone_breakpoint	pr_methadone_inactive	pr_methadone_rewards	pr_naltrexone_active	pr_naltrexone_breakpoint	pr_naltrexone_inactive	pr_naltrexone_rewards	sha_iti_mode_03_04	sha_iti_numburst_03_04	sha_iti_maxburst_03_04	sha_iti_meannumrewards_03_04	sha_iti_pctrewards_03_04	sha_iti_mode_01_02	sha_iti_numburst_01_02	sha_iti_maxburst_01_02	sha_iti_meannumrewards_01_02	sha_iti_pctrewards_01_02	lga_iti_mode_12_14	lga_iti_numburst_12_14	lga_iti_maxburst_12_14	lga_iti_meannumrewards_12_14	lga_iti_pctrewards_12_14	lga_iti_mode_01_02	lga_iti_numburst_01_02	lga_iti_maxburst_01_02	lga_iti_meannumrewards_01_02	lga_iti_pctrewards_01_02
933000320047454	66		-0.700694928	-0.731388602	-0.609181372	0.5	0.5	0.5	0.5	0	0						1		-1.46894512	0	5	0	0					0		0.92	-1.31	2.15	3.07	4.38	25.76666667	8.116666667	31.50064683	17.65	12.81666667	4.1	31.98959688	8.716666667					0	0	5	0	0	0	0	0	1	1	1	1	0	0	1	0		0	0	0			0	0	0			0	0	0			0	0	0	
933000320047266	65		0.043251298	-0.085294759	0.289461361	4	6	1	0.5	1	0	0.549027922	0.486281197	602	2	2	3	4	1.425254432	41.5	117.5	46.5	5	2.27575639	432		33	553.6666667	1.54295166	-1.03	-0.43	2.75	1.72	2.15	18.73333333	1.3	6.939501779	17.43333333	9.266666667	0.666666667	7.194244604	8.6					1	1	1	1	0	0	0	0	21	5	0	8	5	2	0	3	246	0	0	0	0	791	0	0	0	0	21.33333333	33	5.333333333	3.133333333	65.66666667	1415.5	9.5	3	2.165	49
933000320047452	66		-0.748268885	-0.738844023	-0.68078561	2	0	1.5	3	0.5	0		0.371619118		2				-0.845674001	2	11.5	2	0	0.211181813	18387	1	3	38.66666667	1.138980194	2.75	1.41	3.06	5.81	4.4	14.45	-3.95	-27.33564014	18.4	7.083333333	-2	-28.23529412	9.083333333	0	-100	0	0	1	1	2	1	0	0	0	0	1	1	0	1	1	1	1	1		0	0	0			0	0	0	0	793.6666667	5.333333333	2.666666667	2.15	34.33333333		0	0	0	0
933000320047486	64		-0.243477055	-0.205484034	-0.202843368	0.5	0	0.5	0	0	0						1		-0.648201964	1	3	2	1					51.66666667	0.69351361	2.13	0.69	1.62	3.75	3.06	15.63333333	2	12.79317697	13.63333333	7.683333333	0.083333333	1.084598698	7.6	50	-100	-41.66666667	-33.33333333	96	9	2	18	0	0	1	0	19	4	0	7	30	5	0	8		0	0	0			0	0	0		94	5.666666667	1.333333333	1.333333333	25		0	0	0	0
933000320047468	66		-0.355275383	-0.346939177	-0.268390915	4.5	5.5	0.5	1	5.5	1	1.197237692	0.449690391	135	1	3	5	2	0.425552241	30.5	2	39.5	9	1.592790565	789	1	34	197.3333333	1.463139817	2.13	1.26	2.25	4.38	3.12	14.9	-6.733333333	-45.1901566	21.63333333	7.316666667	-3.4	-46.46924829	10.71666667	8.333333333		-100	-50	54	7	3	13					0	0	0	0	25	3	15	6	224.5	2	2	2	73.5	1199	0	0	0	0	333	29	4.333333333	2.643333333	74.66666667	5618.5	1.5	2	2	9.5
933000320047267	64		0.419502085	0.370283991	0.554689465	2.5	5	5.5	6.5	1.5	2.5	0.664009274	0.447123701	1137	1	1		3	2.733506681	57	24	74.5	17.5	1.807084396	232.5	2	81	552		0.06	-0.16	3.22	3.28	3.44	15.83333333	-3.983333333	-25.15789474	19.81666667	7.783333333	-2	-25.69593148	9.783333333	-75		-58.33333333	-50	17	4	2	6					45	6	9	10	56	7	12	12	703.5	0	0	0	0	1140.5	0	0	0	0	22.66666667	52.33333333	6	3.443333333	90.66666667	26.5	14.5	3.5	2.405	58.5
933000320047278	73		-0.810134716	-0.830148236	-0.713725347	1	0	0	0.5	0	0		0				2		-0.864187005	21	8.5	36	15	1.703968868	561.5		33	42	2.044979902	-0.03	0.28	2.53	2.5	2.22	13.73333333	-1.333333333	-9.708737864	15.06666667	6.716666667	-0.683333333	-10.17369727	7.4					7	3	1	4					0	0	0	0	2	1	0	2		0	0	0			0.5	1	1		153	10.33333333	4	2.4	74	2895.5	4	2.5	2.1	39.5
933000320047294	73		1.253915818	1.376247893	1.233494189	10	7	10	17.5	9.5	8.5	0.622782353	1.358699345	945.5	4	2	5	6	1.585700462	48.5	21.5	91.5	43	1.46097343	539	5	45	590.3333333		2.75	1.08	1.65	4.4	3.32	19.95	4.1	20.55137845	15.85	9.883333333	2.083333333	21.07925801	7.8		-78.26086957	-69.56521739	-91.30434783					52	6	22	10	91	8	2	14	14	3	6	4	744.5	0.5	1	1	12.5	56	2	2	2	42	107	34.33333333	4.666666667	2.593333333	56	35.5	10.5	3	2.24	54
933000320046912	72		0.292900506	0.403064802	0.204464319	5.5	4	1	2.5	1	2	0.561946102	0.667996367	892.5	3		5	4	-0.555636946	71.5	107	294.5	223	2.818031811	30	4	82	58	1.236399635	4.63	4.19	1.81	6.44	2.25	16.71666667	2.716666667	16.25124626	14	7.9	1.05	13.29113924	6.85	66.66666667	-88.88888889	-77.77777778	11.11111111	73	8	12	15	1	1	5	1	3	2	3	2	41	6	0	10		0	0	0	0	582	0.5	1	1	16.5	336.3333333	5.333333333	2	2	21.66666667	2290	15.5	4.5	3.26	74
933000320047128	74		0.078385475	0.04847571	0.176624552	8	16.5	7	7.5	5	13.5	1.141059504	0.817348032	77	1	7	8	17	0.937745339	38	17.5	50.5	12.5	2.316432084	455.5	5	39	239	1.193941033	1.97	-0.47	2.47	4.44	4.91	21.68333333	2.7	12.45196003	18.98333333	10.75	1.366666667	12.71317829	9.383333333	-53.33333333		-46.66666667	-26.66666667	24	4	1	7					23	5	0	8	45	6	10	11	26	4.5	2.5	2.285	59	1785.5	0.5	1	1	7.5	21.66666667	41.33333333	4	2.446666667	77.66666667	8336	8.5	2.5	2.06	41
933000320047289	72		0.094946659	0.142560804	0.044149276	4	8.5	4	3.5	2.5	1	0.502415946	0.960757141	718	3	2	2	6	-0.808647994	115.5	82	749	633.5	2.756275701	25	1	179	41.66666667	0.908750994	2.56	2.69	2.97	5.53	2.84	19.51666667	8.316666667	42.61315115	11.2	9.65	4.2	43.52331606	5.45					11	3	6	5	1	1	0	1					0	0	0	0	699	0.5	1	1	12.5	541.5	0.5	1	1	20	188	3.333333333	2.333333333	2.11	20	21.5	24.5	6	4.135	86.5
933000320047139	74		0.000707621	0.062163648	-0.00917171	0.5	1.5	3	6	0.5	0.5	0.374530898		1998.5		1		1	-0.870358006	6	22	8	2	1.40050352	4877	1	8	35.33333333	1.287230983	1.29	1.35	2.56	3.85	2.5	22.05	6.1	27.66439909	15.95	10.93333333	2.233333333	20.42682927	8.7	-54.54545455		-36.36363636	-45.45454545	12	3	1	5					19	4	4	7	15	4	6	6		0	0	0			0	0	0		126	6	2.666666667	2.123333333	40	6860	0.5	1	1	25
933000320047134	74		0.298721996	0.371121412	0.236830793	0.5	2	0	1.5	0	2	0.822445561		597		3	1		-0.530952941	25	6.5	31.5	6.5	0.797237887	1474	1	31	54.66666667	0.944423962	5.31	2.88	1.97	7.28	4.4	23.28333333	7.333333333	31.49606299	15.95	12.4	4.566666667	36.82795699	7.833333333	-42.85714286	-100		28.57142857	8	3	4	4	0	0	0	0					29	5	8	9	597	0.5	1	1	50		0	0	0		196.3333333	8	3	2.1	35.33333333	3581	2	2	2	16
933000320046913	72		0.088031493	0.097087922	0.135320053	3.5	10	0	2	1.5	2	0.711042067	0.257225946	696	1	5	3	8	0.758786305	36.5	1.5	42	5.5	1.446641583	729	3	31	147	1.382581674	1.25	1.5	2.47	3.72	2.22	17.86666667	-0.716666667	-4.01119403	18.58333333	8.816666667	-0.366666667	-4.15879017	9.183333333	-58.33333333		-41.66666667	-58.33333333	11	3	0	5					18	4	0	7	15	3	1	5	290.5	1	2	2	20	1678.5	0	0	0	0	31.33333333	26.66666667	3.666666667	2.23	53.33333333	260.5	6	2	2	31.5
933000320047141	74		0.110031288	-0.017413079	-0.06440341	10.5	9	5.5	1.5	2	4.5	0.427702675	0.585646407	832.5	3	2	4	8	-0.472313379	68.5	6	96.5	28	1.453458414	497	5	87	97.33333333	1.255335709	3.38	2.79	4.47	7.85	5.06	22.76666667	0.616666667	2.70863836	22.15	11.3	0.316666667	2.802359882	10.98333333	150	-25	150	25	37	6	13	10	6	2	4	3	33	6	7	10	16	3	7	5						163	0.5	1	1	9						335.5	11	3	2.25	36
933000320047145	73		-0.796583279	-0.728745034	-0.652814964	2.5	7	3	8.5	1.5	0.5	1.373289022	0.506628994	65		1	1	3	-1.126547011	19	17	20	1	1.165394267	1442	3	19	29.66666667	1.807289824	0.37	0.62	3.38	3.75	3.13	21.8	-0.5	-2.293577982	22.3	10.78333333	-0.283333333	-2.627511592	11.06666667	0	100	200	0	1	1	1	1	2	1	14	2	5	2	1	3	1	1	1	1						666.5	1.5	1	1	33.5	1127.666667	3.666666667	1	0.756666667	15.66666667	324	1	2.5	2.5	13
933000320047292	72		-0.633758574	-0.535625687	-0.293791026	6	4.5	7	9.5	0.5	2	0.872776427	0.830132176	1034	3	2	3	4	-0.638312957	32.5	30	35	2.5	1.189743869	1064	2	38	62	1.26602529	1.72	-0.31	2.72	4.44	4.75	14.43333333	1.95	13.51039261	12.48333333	7.083333333	1	14.11764706	6.083333333					3	2	3	2	0	0	0	0	1	1	1	1	5	2	5	3	92.5	0.5	1	1	33.5	389.5	0	0	0	0	626.3333333	9.333333333	2.666666667	2.08	33.66666667	526	5	2.5	2.06	31.5
933000320047284	73		-1.284163848	-1.186294468	-1.059935374	8	4	5.5	2.5	1.5	2	0.964745168	0.922755125	684.5	6		6	5	-1.360899357	27.5	19.5	34.5	7	1.136192031	1342	2	29	9	0.803757349	-0.35	0.24	3.28	2.93	2.69	17.71666667	-6.45	-36.40639699	24.16666667	8.75	-3.25	-37.14285714	12	-100	-100	-100	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	1	2	2	53.5	82	2.5	2	2	62	1075.666667	0.333333333	0.666666667	0.666666667	6	2668.5	8	2.5	2.105	52.5
933000320047148	73		0.427802578	0.280477906	0.357615262	2.5	6	0	3	2.5	4	0.635525908	0.28827749	503.5	1	2	1	8	0.499272389	19	13.5	33	14	1.417329952	642.5		12	282		-0.74	-0.02	3.93	3.19	3.21	16.7	3.083333333	18.46307385	13.61666667	8.233333333	1.566666667	19.02834008	6.666666667			-100										0	0	8	0					250	1	1	1	25		0	0	0	0	21.33333333	30.66666667	5.333333333	3.073333333	83	3689	3.5	3	2.25	37
933000320047138	74		-0.62395434	-0.669662492	-0.584306059	1.5	1	2	4	0.5	1	0	0	363			1		-0.638312957	8	3.5	10.5	2.5	1.135898909	3149.5		8	69.66666667	0.760539702	0.97	0.85	3.75	4.72	3.87	12.61666667	-6.066666667	-48.08454425	18.68333333	5.983333333	-3.25	-54.31754875	9.233333333		-37.5	-87.5	-50					11	3	4	5	1	1	2	1	7	2	2	4		0	0	0			0	0	0	0	207.6666667	13.33333333	2.666666667	2.103333333	48.33333333	217	0.5	1	1	11
933000320046924	72		0.575433471	0.312601447	0.216396978	1	0	0.5	0	0	0				2				-0.506489762	23	9.5	26	3	1.369987509	455		35	68.66666667	1.322974552	1.88	2.1	2.53	4.41	2.31	20.11666667	3.7	18.3927092	16.41666667	9.95	1.866666667	18.76046901	8.083333333	-33.33333333		13.33333333	-86.66666667	33	6	0	10					88	9	13	17	7	1	0	2		0	0	0			0	0	0	0	187	9.333333333	2.333333333	2.046666667	28.66666667	315.5	5	2	2	39
933000320047123	67		-0.019573484	-0.179286017	-0.197521811	1.5	5.5	2	0	0	2	1.071175683	0.722689076	538		5	2	3	-0.657842319	30.5	12	37.5	7	1.707774293	735	1	35	68	1.725917586	1.6	1.63	4.65	6.25	4.62	16.4	-1.033333333	-6.300813008	17.43333333	9.416666667	0.816666667	8.672566372	8.6	-9.090909091	-63.63636364			36	6	6	10	7	3	1	4									134.5	1	1	1	28.5		0	0	0		34.33333333	15	3.666666667	2.346666667	64	1469.5	8	2	2	47.5
933000320046908	72		0.331648875	0.316963112	0.417321842	9	6.5	5.5	7.5	1	2	0.826018193	0.711220352	750	4	5	7	2	0.748271757	131	73	426.5	295.5		29	2	197	316.6666667	2.587913621	3.53	0.68	1.81	5.34	4.66	24.18333333	5.6	23.15644383	18.58333333	12.01666667	2.833333333	23.57836338	9.183333333	25	75		-75	43	6	8	10	69	8	6	14					4	2	1	2	73	1.5	2.5	2.25	53	314.5	1.5	2.5	2.25	37.5	22	44	5.333333333	2.936666667	84.33333333	21.5	34	5.5	3.645	96
933000320047124	69		-0.288379658	-0.275574077	-0.167273795	6	9	10	2.5	1	9	1.915787397	1.072439485	60.5	1	5	7	10	-1.170488076	22.5	9.5	35.5	13	2.374450688	444	3	7	26.66666667	1.876154986	1.72	0.31	3.25	4.97	4.66	18.71666667	6.15	32.85841496	12.56666667	9.25	3.116666667	33.69369369	6.133333333					30	5	2	10	3	2	0	2	40	6	3	11	19	4	0	7	38	3	3	2.5	82.5	380.5	2	2	2	63	2064.666667	5	2	1.403333333	27.33333333	28	5.5	2.5	2.285	57.5
933000320046921	70		0.358648852	0.279665934	0.19795194	6	2.5	3	3	2	2	1.172245534	0.654210765	730.5	2	2	6	3	-0.770136152	17.5	29	19.5	2	1.181042944	1508	1	19	56.33333333	1.315984115	-0.26	2.09	5.1	4.84	2.75	30.31666667	10.35	34.13963716	19.96666667	15.11666667	5.25	34.72987872	9.866666667	-66.66666667	-100	-100	0	2	1	2	1	0	0	0	0	0	0	0	0	5	2	0	3		1	1	1		327.5	0.5	1	1	25	427.3333333	13	3.666666667	2.35	61.66666667	2260.5	2.5	2.5	2.125	28.5
933000320046903	71	"2019-08-05_Died, after treatment 2 (was in Naltrexone group)"	0.922196045	0.887593807	1.14766015	9	10.5	13	9	4	7.5	0.914928801	0.871764653	687	3	6	6	8	1.817504336	103	12	200	97	1.626377169	74	3	160	866.3333333		-1.94	1.84	6.53	4.59	2.75	24.43333333	2.083333333	8.526603001	22.35	12.15	1.066666667	8.77914952	11.08333333																	22	4	2	7						50.5	3	2	2	52.5	20.66666667	54.66666667	5.666666667	2.87	80	22.5	29	5	2.795	78.5
933000320047107	69		-0.722803968	-0.647413353	-0.506759405	2.5	9	2	4.5	1.5	5.5	0.794884636	0.966271259	680.5	1	5	2	6	-0.633430617	31.5	6	33	1.5	1.857414953	711	4	40	64.33333333	1.199838258	-0.69	-0.44	4.94	4.25	4.69	19.08333333	-0.45	-2.358078603	19.53333333	9.333333333	-2	-21.42857143	11.33333333	116.6666667	0		16.66666667	56	7	2	13	14	3	1	6					21	4	4	7						3487	1.5	2	2	51.5	310.6666667	5.666666667	3	2.476666667	21.33333333	31	4.5	2	2	23.5
933000320047480	63		0.430554171	0.162951617	0.087983497	8	7	3	3.5	0.5	1	1.109012252	0.846616221	668	1	4	5	7	-0.413725292	34.5	12	41	6.5	1.11676512	979	2	41	84	0.950899316	0.73	2.26	4.31	5.04	2.78	21.85	-0.033333333	-0.152555301	21.88333333	10.83333333	0	0	10.83333333	-86.66666667	-100	13.33333333	-60	3	2	1	2	0	0	0	0	90	9	3	17	15	3	3	6						470.5	3	3	2.5	74	171.3333333	12.33333333	2.666666667	2.056666667	34.66666667	100.5	5.5	2.5	2.06	33.5
933000320047451	66		0.884777965	0.860255774	0.879586586	1	0	0.5	0	1	0								1.124211979	30	1.5	65.5	35.5	1.448053981	944		44	988		1.75	2.4	2.53	4.28	1.88	23.53333333	11.43333333	48.58356941	12.1	11.68333333	5.783333333	49.50071327	5.9	1100			500	50	7	0	12									37	3	1	6							0	0	0		21.33333333	44.66666667	6	3.623333333	92	32.5	5	3.5	2.595	44.5
933000320047478	63	"2019-08-13_Died, after long access session 21"	0.589320494	0.464676975	0.545615481	10.5	10.5	16.5	22.5	2.5	2	1.042859872	0.922596937	339	2	6	4	7	1.207211768	55.5	40.5	90.5	35	1.985576438	232	3	61	274.3333333		3.72	1.5	2.25	5.97	4.47	17.91666667	1.333333333	7.441860465	16.58333333	8.85	-0.983333333	-11.11111111	9.833333333	33.33333333		16.66666667	-50	94	9	18	16					67	8	11	14	17	4	9	6						167.5	2	2	2	34.5	26.66666667	43.66666667	4.333333333	2.73	85	2967	14.5	2.5	1.295	36.5
933000320047489	64		-0.025806468	0.207375447	0.479357935	5.5	4	0	0	1	1.5	1.208107143	1.248017881	886	3	4	1	2	1.519681563	63	10.5	166.5	103.5	2.512154099	33	2	107	1000		-0.81	-0.91	5.06	4.25	5.16	24	8.4	35	15.6	11.91666667	4.233333333	35.52447552	7.683333333	200	300	100	200	7	2	3	3	9	2	31	4	2	1	0	2	7	2	1	3						45.5	1	2	2	45	21.33333333	45.33333333	6	4.016666667	93.33333333	463.5	16	4	2.665	63
933000320047253	65		-0.219234865	-0.258083706	-0.18289188	11	14.5	7	13	5	15.5	0.693467157	0.811467134	437	4	7	3	11	-0.3063138	61	36.5	121.5	60.5	1.79783668	363	2	16	170.6666667	1.344902514	1.1	0.53	4.09	5.19	4.66	22.38333333	0.366666667	1.638123604	22.01666667	11.1	0.183333333	1.651651652	10.91666667	-77.77777778	-33.33333333	-77.77777778	-77.77777778	4	2	2	2	22	4	0	6	2	1	3	2	3	2	5	2						35	2	2	2	31.5	21.66666667	22.66666667	3.333333333	2.353333333	66	25.5	13	4	2.54	54.5
933000320047118	66	"2019-08-10_Died, during long access session 21"	0.120717544	0.161688508	0.452685118	9.5	11	6	6	9.5	5	0.523437268	0.656551552	605	2	1	6	9	0.909388995	33	15	58.5	25.5	2.317399264	587.5	3	41	238.3333333		2.62	0.81	1.97	4.59	3.78	19.35	0.066666667	0.344530577	19.28333333	9.566666667	0.033333333	0.348432056	9.533333333									21	4	0	7	0	0	0	0	25	5	1	8						528.5	2	2	2	31.5	30	44.66666667	4.333333333	2.696666667	79.66666667	283.5	9	2.5	2.06	57
933000320047458	66		0.686942227	0.518577419	0.542343992	11	10.5	17.5	7	6	6	0.568137203	0.507452065	740	2	6	4	8	0.552978135	64	4	89	25	1.327434994	286.5	3	93	545.6666667	1.135697173	2.47	0.91	4.37	6.84	5.93	21.71666667	5.583333333	25.70990023	16.13333333	10.8	2.866666667	26.54320988	7.933333333	0	-93.75	-62.5	0	101	9	6	16	1	1	0	1	19	4	4	6	104	9	20	16						210.5	1	2.5	2.5	22.5	22.33333333	44.33333333	5.333333333	2.523333333	80.33333333	28	17	4	2.4	64
