positive_class,true_negatives,false_positives,false_negatives,true_positives,example_count,accuracy_score,recall_score,precision_score,f1_score,roc_auc,precision_recall_auc
0,15,0,0,8,23,1.0,1.0,1.0,1.0,1.0,1.0
1,14,0,1,8,23,0.9565217391304348,0.8888888888888888,1.0,0.9411764705882353,0.9444444444444444,0.932367149758454
2,16,1,0,6,23,0.9565217391304348,1.0,0.8571428571428571,0.923076923076923,0.9705882352941176,0.8571428571428571
